name,degrees,education,occupations,time_in_space,interests,nationality,age
Frank Borman,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Military Academy, 1950); Master of Science in Aeronautical Engineering (California Institute of Technology, 1957)","Colonel, USAF; Aeronautical Engineer; NASA Astronaut; Test Pilot; Businessman",19d 21h 35m,rebuilding and modeling aircraft; built model airplanes; cattle ranching,United States,
Frank De Winne,Master's degree; Degree as test pilot from the British Empire Test Pilots' School,"None (Royal School of Cadets, 1979); Master of Sciences in Engineering (Polytechnics) (Royal Military Academy, 1984); Staff Course (Defence College in Brussels, 1991); Degree as test pilot (British Empire Test Pilots' School, 1992)","Test pilot; Brigadier General, Belgian Air Force; ESA astronaut","198 days, 17 hours, 34 minutes",football; small PC applications; gastronomy,Belgium,64
Frank L. Culbertson Jr.,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1971)",Naval Officer; Aviator; Test Pilot; Aerospace Engineer; NASA Astronaut,143d 14h 50m,,American,76
Franklin Chang-Díaz,Bachelor of Science degree; Doctor of Philosophy (PhD),"B.S. in Mechanical Engineering (University of Connecticut, 1973); Ph.D. in Applied Plasma Physics (Massachusetts Institute of Technology, 1977)",Mechanical Engineer; Physicist; Former NASA Astronaut; CEO of Ad Astra Rocket Company; Board Member of Cummins; Adjunct Professor in Physics and Astronomy at Rice University,66d 18h 16m,environmental protection; raising awareness about climate change,Costa Rican-American,75
Franklin Story Musgrave,Bachelor of Science degree; Master's degree; Bachelor of Arts degree; Doctor of Medicine; Master of Science degree; Master of Arts degree,"Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958); Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959); Bachelor of Arts in Chemistry (Marietta College, 1960); Doctor of Medicine (Columbia University, 1964); Master of Science in Physiology and Biophysics (University of Kentucky, 1966); Master of Arts in Literature (University of Houston–Clear Lake, 1987)",American physician; Retired NASA astronaut; Public speaker; Consultant,53d 9h 55m,chess; flying; gardening; literary criticism; poetry; microcomputers; parachuting; photography; reading; running; scuba diving; soaring,United States,90
Franz Artur Viehböck,,,Electrical engineer; Cosmonaut; Director for International Business Development; Technology coordinator,7d 22h 12m,,Austria,65
Fred Wallace Haise Jr.,Associate degree; Bachelor of Science degree,"Associate of Arts (Perkinston Junior College, 1952); Bachelor of Science in Aeronautical Engineering (University of Oklahoma, 1959)","NASA astronaut; Engineer; Fighter pilot, U.S. Marine Corps; Fighter pilot, U.S. Air Force; Test pilot","5 days, 22 hours, 54 minutes",,American,91
Frederick D. Gregory,Bachelor of Science degree; Master of Science degree,"BS (United States Air Force Academy, 1964); MS in Information Systems (George Washington University, 1977)",United States Air Force pilot; Military engineer; Test pilot; NASA astronaut; NASA deputy administrator; NASA acting administrator,18d 23h 4m,reading; boating; hiking; diving; biking; traveling,United States,84
Frederick Hauck,Bachelor of Science degree; Master of Science degree,"None (St. Albans School, 1958); Bachelor of Science in physics (Tufts University, 1962); Master of Science in nuclear engineering (Massachusetts Institute of Technology, 1966); None (U.S. Naval Test Pilot School, 1971)","Retired captain, United States Navy; Fighter pilot; NASA astronaut; President and chief operating officer, AXA Space; Chief executive officer, AXA Space",18d 3h 7m,,United States,84
Frederick W. Leslie,Bachelor of Science degree; Master's degree; Doctor of Philosophy (PhD),"Bachelor of Science in engineering science (The University of Texas, 1974); Master's degree in meteorology (University of Oklahoma, 1977); Doctor of Philosophy in meteorology with a minor in fluid mechanics (University of Oklahoma, 1979)",Scientist; Payload Specialist; Postdoctoral Research Associate; Research Scientist; Chief of the Fluid Dynamics Branch,15d 21h 34m,,American,73
Frederick W. Sturckow,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in mechanical engineering (California Polytechnic State University, 1984); Master of Science in mechanical engineering (Florida Institute of Technology, 2000)",Engineer; Retired United States Marine Corps officer; Former NASA astronaut; Commercial spacecraft pilot,51d 10h 20m,flying; physical training,U.S.,64
Fyodor Yurchikhin,Mechanical Engineer; Doctor of Philosophy (PhD),"Mechanical Engineer (Moscow Aviation Institute, 1983); Ph.D. in Economics (Russian Presidential Academy of National Economy and Public Administration, 2001)",Cosmonaut; Mechanical engineer,672 days 20 hours 38 minutes,collecting stamps and space logos; sports; history of cosmonautics; promotion of space; reading history; science fiction; the classics,Russia,66
G. David Low,Bachelor of Science degree; Master of Science degree,"Bachelor of Science degree in Physics - Engineering (Washington & Lee University, 1978); Bachelor of Science degree in mechanical engineering (Cornell University, 1980); Master of Science degree in aeronautics and astronautics (Stanford University, 1983); None (Harvard University, None); None (Johns Hopkins University, None)",American aerospace executive; NASA astronaut,29d 18h 5m,tennis; lacrosse; scuba diving; running; spending time with his family,American,
Garrett Reisman,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"BS in Economics and Mechanical Engineering & Applied Mechanics (University of Pennsylvania, 1991); MS in Mechanical Engineering (California Institute of Technology, 1992); PhD in Mechanical Engineering (California Institute of Technology, 1997)",American engineer; Former NASA astronaut; Consultant at SpaceX; Professor of Astronautics Practice at the University of Southern California; Aquanaut; Astronaut Advisor at Vast,107d 3h 15m,,United States,57
Gary Payton,Bachelor of Science degree; Master of Science degree,"B.S. in astronautical engineering (United States Air Force Academy, 1971); M.S. in astronautical and aeronautical engineering (Purdue University, 1972)","Pilot; Colonel, USAF; USAF Manned Spaceflight Engineer; Deputy Undersecretary of the Air Force; NASA Deputy Associate Administrator for Space Transportation Technology; Director of NASA's Space Transportation Division; Vice President for Engineering and Operations at ORBIMAGE; Deputy Under Secretary of the Air Force for Space Programs; Deputy for Advanced Systems, Missile Defense Agency; Distinguished visiting professor at United States Air Force Academy",3d 01h 33m,,American,77
Gene Cernan,Electrical Engineer; Aeronautical Engineer,"Bachelor of Science in Electrical Engineering (Purdue University, 1956); Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1963)",Astronaut; Naval Aviator; Electrical Engineer; Aeronautical Engineer; Fighter Pilot,23d 14h 15m,,American,
Gennady Manakov,,,"Test pilot; Cosmonaut; Colonel, Soviet Air Force",309d 21h 18m,,Soviet / Russian,69
Gennady Padalka,,"None (Yeysk Military Aviation College, 1979)","Pilot; Colonel, Russian Air Force; Cosmonaut","878 days, 11 hours, and 29 minutes",theater; parachute sport; diving,Russia,67
Gennady Sarafanov,,,"Pilot; Colonel, Soviet Air Force",2 days 0 hours 12 minutes,,Soviet,
Gennady Strekalov,Diploma; Degree in technical science,"Engineer's diploma (N. E. Bauman Moscow Higher Technical School, 1965); Degree in technical science (N. E. Bauman Moscow Higher Technical School, None)",Flight Engineer; Engineer; Cosmonaut; Administrator at RSC Energia,268 days 22 hours 22 minutes,,Soviet,
George D. Zamka,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mathematics (United States Naval Academy, 1984); Master of Science in Engineering Management (Florida Institute of Technology, 1997)","Colonel, USMC; NASA Astronaut; Pilot; Commander",28d 20h 32m,weightlifting; running; bicycling; scuba diving; boating,U.S.,63
George Driver Nelson,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Physics (Harvey Mudd College, 1972); Master of Science in Astronomy (University of Washington, 1974); Doctor of Philosophy in Astronomy (University of Washington, 1978)","Physicist; Astronomer; Science Educator; Retired NASA Astronaut; Assistant Provost at the University of Washington; Director of the Science, Mathematics and Technology Education program at Western Washington University",17d 2h 43m,golf; reading; swimming; running; music,American,75
Georgy Beregovoy,,"None (Air Force Academy, 1956)","Pilot; Lieutenant General, Soviet Air Forces; Cosmonaut",3d 22h 50m,,Soviet Union,47
Georgy Dobrovolsky,,,"Pilot; Podpolkovnik , Soviet Air Force",23d 18h 21m,,Soviet Union,43
Georgy Grechko,Doctorate in Mathematics,"Doctorate in Mathematics (Leningrad Institute of Mechanics, None)",Engineer; Soviet Cosmonaut; Lecturer on Atmospheric Physics,134d 20h 32m,,Soviet / Russian,
Georgy Shonin,,,"Pilot; Cosmonaut; Lieutenant General, Soviet Air Force",4d 22h 42m,,Ukraine,
Gerald Carr,Bachelor of Engineering in mechanical engineering; Bachelor of Science degree; Master of Science degree,"Bachelor of Engineering in mechanical engineering (University of Southern California, 1954); Bachelor of Science in aeronautical engineering (Naval Postgraduate School, 1961); Master of Science in aeronautical engineering (Princeton University, 1962)","Mechanical and aeronautical engineer; Marine Corps officer; Naval aviator; NASA astronaut; Colonel, USMC",84d 1h 15m,,American,
Gerhard Thiele,Doctorate in Environmental Science,"Physics (University of Munich, None); Doctorate in Environmental Science (University of Heidelberg, 1985)",Physicist; Operations/Weapons Officer; Astronaut; Resident Fellow; Head of ESA's HSO-K,11d 05h 39m,,German,72
Gherman Titov,,,"Pilot; General-Colonel, Soviet Air Force; Cosmonaut; Communist Politician",1d 01h 18m,gymnastics,Russian,
Gordon Cooper,Bachelor of Science degree,"None (University of Hawaiʻi at Mānoa, None); None (University of Maryland, College Park, None); Bachelor of Science (Air University, 1956)","Aerospace engineer; Test pilot; United States Air Force pilot; Colonel, USAF; Astronaut",9d 9h 14m,racing cars; racing boats; UFOs,United States,
Gregory Bruce Jarvis,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in electrical engineering (State University of New York at Buffalo, 1967); Master of Science in electrical engineering (Northeastern University, 1969)","Engineer; Astronaut; Captain, USAF; Payload Specialist, Hughes Aircraft",,,American,41
Gregory C. Johnson,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (University of Washington, 1977)",Naval Officer; Naval Aviator; Test Pilot; Aerospace Engineer; NASA Astronaut,12d 21h 38m,athletics; cycling; swimming; auto repair,United States,71
Gregory Chamitoff,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"B.S. Electrical Engineering (California Polytechnic State University, 1984); M.S. Aeronautical Engineering (California Institute of Technology, 1985); Ph.D. Aeronautics and Astronautics (Massachusetts Institute of Technology, 1992); M.S. Physical Sciences (Space Science) (University of Houston–Clear Lake, 2002)",Engineer; Astronaut; Professor of Engineering Practice,198d 18h 2m,scuba diving; backpacking; flying; skiing; racquetball; Aikido; juggling; magic; guitar; chess,USA,63
Gregory H. Johnson,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science in aeronautical engineering (United States Air Force Academy, 1984); Master of Science in flight structures engineering (Columbia University, 1985); Master of Business Administration (University of Texas at Austin, 2005)","NASA astronaut; Colonel, USAF; President and Executive Director for CASIS",31d 11h 50m,,American,63
Gregory J. Harbaugh,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical and Astronautical Engineering (Purdue University, 1978); Master of Science in Physical Science (University of Houston–Clear Lake, 1986)","Aeronautical/Astronautical Engineer; NASA Astronaut; Museum Director; COO of Sun 'n Fun Fly-in, Inc.; CEO/President of the Sigma Chi Foundation; Founder/Chairman/CEO of InnerSpace Consultants",34d 1h 59m,,U.S.,69
Gregory T. Linteris,Bachelor of Science degree; Master of Science degree; Doctorate in Mechanical and Aerospace Engineering,"Bachelor of Science in Chemical Engineering (Princeton University, 1979); Master of Science in Mechanical Engineering (Stanford University, 1984); Doctorate in Mechanical and Aerospace Engineering (Princeton University, 1990)",Scientist; Payload Specialist; Staff Scientist,19d 15h 58m,,American,67
Guion Stewart Bluford Jr.,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD); Master's degree,"Bachelor of Science in Aerospace Engineering (Pennsylvania State University, 1964); Master of Science in Aerospace Engineering (Air Force Institute of Technology, 1974); Doctor of Philosophy in Aerospace Engineering with a minor in Laser Physics (Air Force Institute of Technology, 1978); Master of Business Administration (University of Houston–Clear Lake, 1987)",Aerospace engineer; Retired United States Air Force officer; Fighter pilot; NASA astronaut,28 days 16 hours 33 minutes,reading; swimming; jogging; racquetball; handball; scuba diving; golf,United States,82
Gus Grissom,Bachelor of Science degree; Bachelor's degree,"Bachelor of Science in mechanical engineering (Purdue University, 1950); Bachelor's degree in aeromechanics (Air University, 1956)","Engineer; Pilot, United States Air Force; Lieutenant Colonel, USAF; NASA Astronaut; Test Pilot",5h 7m,hunting; fishing; water sports; skiing,American,
Guy Laliberté,,"Honorary Doctorate (Université Laval (Québec), 2008)",Businessman; Co-founder of Cirque du Soleil,10d 21h 17m,,Canada,66
Guy Spence Gardner,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Astronautics, Mathematics, and Engineering Sciences (United States Air Force Academy, 1969); Master of Science in Astronautics (Purdue University, 1970)","United States Air Force officer; Colonel, USAF; Astronaut; President of Williamson College of the Trades; Superintendent of Riverside Military Academy; Director of the William J. Hughes Technical Center; Associate Administrator for Regulation and Certification",13d 8h 10m,,United States,77
Hans Wilhelm Schlegel,Physics,"International exchange student graduate (Lewis Central High School, None); Graduate (Hansa Gymnasium, None); Physics (RWTH Aachen University, None)",Physicist; Former ESA astronaut; DLR payload specialist; Mission specialist,22d 18h 02m,,Germany,74
Harrison Hagan Schmitt,Bachelor of Science degree; Studied Geology; Doctor of Philosophy (PhD),"Bachelor of Science in Geology (California Institute of Technology, 1957); Studied Geology (University of Oslo, 1958); Doctor of Philosophy in Geology (Harvard University, 1964)",Geologist; NASA Astronaut; University Professor; U.S. Senator from New Mexico,12d 13h 52m,,American,90
Hazza Al Mansouri,,"None (Khalifa bin Zayed Air College, 2004)",Fighter pilot; Astronaut,"7 days, 21 hours, 1 minute",exploring; watching stars and meteors,United Arab Emirates,41
Heidemarie Stefanyshyn-Piper,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (Massachusetts Institute of Technology, 1984); Master of Science (Massachusetts Institute of Technology, 1985)","American Naval officer; NASA astronaut; Captain, United States Navy; salvage officer",27d 15h 36m,,American,62
Helen Patricia Sharman,BSc in chemistry; Doctor of Philosophy (PhD),"BSc in chemistry (University of Sheffield, 1984); Ph.D. (Birkbeck, University of London, 1987)",Chemist; Cosmonaut,7d 21h 13m,living in Russia; learning the language; doing advanced mechanics,British,62
Henry Hartsfield,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Physics (Auburn University, 1954); Master of Science in Engineering Science (University of Tennessee, 1971); None (Duke University, None); None (U.S. Air Force Institute of Technology, None)",United States Air Force Colonel; NASA astronaut; Pilot on STS-4; Spacecraft commander of STS-41-D; Spacecraft commander of STS-61-A,20d 2h 50m,,United States,80
Igor Volk,,"None (Kirovograd Military Aviation School of Pilots, 1956); None (Fedotov Test Pilot School, 1965); None (Moscow Aviation Institute, 1969)",test pilot; cosmonaut,11d 19h 14min,,Russia,
Ilan Ramon,B.Sc. in electronics and computer engineering,"B.Sc. in electronics and computer engineering (Tel Aviv University, 1987)","Fighter pilot; Colonel, Israeli Air Force; Astronaut; Payload Specialist",15d 22h 20m,,Israel,48
Ivan Bella,,"None (Military School, 1983); None (Košice Military Academy, 1987)",Pilot; Brigadier general; Research cosmonaut; Military attaché,7d 21h 56min,,Slovak,61
Jack D. Fischer,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Astronautical Engineering (U.S. Air Force Academy, 1996); Master of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1998)","Engineer; Test pilot; Former NASA astronaut; Colonel, USAF; Chief Technology Officer, Collins Aerospace; Vice President of Strategic Programs, Intuitive Machines","135 days, 18 hours and 8 minutes",,American,51
Jack R. Lousma,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in aeronautical engineering (University of Michigan, 1959); Master of Science in aeronautical engineering (Naval Postgraduate School, 1965)",American astronaut; Aeronautical engineer; Retired United States Marine Corps officer; Former naval aviator; NASA astronaut; Politician,67d 11h 13m,,American,89
Jack Swigert,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science in Mechanical Engineering (University of Colorado, 1953); Master of Science in Aerospace Engineering (Rensselaer Polytechnic Institute, 1965); Master of Business Administration (University of Hartford, 1967)",NASA astronaut; Test pilot; Mechanical engineer; Aerospace engineer; United States Air Force pilot; Politician,"5 days, 22 hours, 54 minutes",golf; handball; bowling; skiing; swimming; basketball; photography,United States,
Jake Garn,Bachelor of Science degree,"Bachelor of Science in business and finance (University of Utah, 1955)","American politician; Insurance executive; Pilot; Colonel (retired); Brigadier General; Mayor of Salt Lake City; Member of the United States Senate; Chairman of the United States Senate Committee on Banking, Housing, and Urban Affairs",6d 23h 55m,,United States,92
James A. Pawelczyk,Bachelor of Arts degree; Master of Science degree; Doctor of Philosophy (PhD),"None (Iroquois Central High School, 1978); BA in Biology (University of Rochester, 1982); BA in Psychology (University of Rochester, 1982); MS in Physiology (University of North Texas, 1985); PhD in Biology (Physiology) (University of North Texas, 1989)",Professor; Researcher; Payload Specialist,15d 21h 50m,cycling; swimming; woodworking; philately; outdoor activities,American,64
James Alton McDivitt Jr.,Bachelor of Science degree,"Bachelor of Science degree in aeronautical engineering (University of Michigan, 1959); None (Jackson College, None)",American test pilot; United States Air Force pilot; Aeronautical engineer; NASA astronaut; Manager of Lunar Landing Operations; Apollo spacecraft program manager,14 days 2 hours 56 minutes,hunting; fishing; golf; water sports; tennis; all outdoor activities,American,
James Buchli,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical Engineering (United States Naval Academy, 1967); Master of Science in Aeronautical Engineering Systems (University of West Florida, 1975)","United States Marine aviator; NASA astronaut; Colonel, USMC",20d 10h 25m,,United States,80
James C. Adamson,Bachelor of Science degree; Master of Science degree; Chartered Director Certification,"Bachelor of Science in Engineering (United States Military Academy, 1969); Master of Science in Aerospace Engineering (Princeton University, 1977); Chartered Director Certification (The Directors College, 2010)","Colonel, United States Army; NASA Astronaut; Research Test Pilot; Assistant Professor of Aerodynamics; Management Consultant",13d 22h 21m,,U.S.,79
James D. Halsell,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science (United States Air Force Academy, 1978); Master of Science in Management (Troy University, 1983); Master's degree in Space Operations (Air Force Institute of Technology of Air University, 1985)","Colonel, USAF; NASA Astronaut; Vice President of Space Exploration Systems, ATK Launch Systems; Technical Director, Dynetics",52d 10h 34m,,United States,68
James F. Reilly,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science (University of Texas, Dallas, 1977); Master of Science (University of Texas, Dallas, 1987); Doctor of Philosophy (University of Texas, Dallas, 1995)",American geologist; Retired astronaut; Honorary United States Marshal; Director of the U.S. Geological Survey; Officer in the U.S. Navy Reserve; Dean of the School of Science and Technology (American Public University System); Executive adviser (Booz Allen Hamilton),35d 10h 34m,,United States,71
James H. Newman,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"BS (Dartmouth College, None); MS (Rice University, None); PhD (Rice University, None)","Physicist; NASA Astronaut; Provost of Naval Postgraduate School; Adjunct Professor; NASA Visiting Professor; Professor, Space Systems",43d 10h 7m,atomic and molecular physics,American,68
James Irwin,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Naval Academy, 1951); Master of Science (University of Michigan, 1957)","Astronaut; Aeronautical Engineer; Test Pilot; United States Air Force Pilot; Colonel, USAF",12d 7h 12m,,American,
James M. Kelly,Bachelor of Science degree; Master of Science degree,"B.S. in Astronautical Engineering (United States Air Force Academy, 1986); M.S. in Aerospace Engineering (University of Alabama, 1996)","Colonel, USAF; NASA Astronaut; Pilot",26d 17h 21m,,U.S.,61
James P. Bagian,Bachelor of Science degree; Doctor of Medicine degree,"Bachelor of Science in mechanical engineering (Drexel University, 1973); Doctor of Medicine (Thomas Jefferson University, 1977)","American physician; Engineer; Former NASA astronaut; Colonel, USAF; Director of the Center for Healthcare Engineering and Patient Safety at the University of Michigan",14d 1h 53m,Mountain rescue; Snow-and-ice rescue techniques; Flying,American,73
James Patrick Dutton Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Astronautical Engineering (United States Air Force Academy, 1991); Master of Science in Aeronautics & Astronautics (University of Washington, 1994)","Engineer; Former NASA astronaut pilot; Test pilot, US Air Force; Airline pilot with Southwest Airlines; Technical advisor at Dynetics, Inc.",15d 2h 47m,,U.S.,56
James S. Voss,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering (Auburn University, 1972); Master of Science in Aerospace Engineering Sciences (University of Colorado, 1974)",Retired United States Army Colonel; NASA Astronaut; Associate Dean of Engineering at Auburn University; Vice President of Space Exploration Systems at t/Space; Vice President of Engineering at SpaceDev; Director of Advanced Programs at Sierra Nevada Corporation; Scholar in Residence at the University of Colorado,202d 5h 28m,science fiction with an emphasis on spaceflight; wrestling; track and field; football,United States,76
James van Hoften,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in civil engineering (University of California, Berkeley, 1966); Master of Science in hydraulic engineering (Colorado State University, 1968); Doctor of Philosophy in hydraulic engineering (Colorado State University, 1976)",Civil and hydraulic engineer; Retired U.S. Navy officer and aviator; Former astronaut for NASA; Assistant professor of Civil Engineering at the University of Houston; Senior Vice President and partner of Bechtel Corporation,14d 1h 57m,skiing; playing handball; racquetball; jogging,American,81
Jan Davis,Bachelor of Science degree; Master of Science degree; Doctorate in mechanical engineering,"Bachelor of Science in applied biology (Georgia Institute of Technology, 1975); Bachelor of Science in mechanical engineering (Auburn University, 1977); Master of Science in mechanical engineering (University of Alabama, Huntsville, 1983); Doctorate in mechanical engineering (University of Alabama, Huntsville, 1985)","Astronaut; Petroleum Engineer; Aerospace Engineer; Director, Flight Projects Directorate; Program Manager, Safety and Mission Assurance Support Contract",28d 2h 7m,,American,71
Janet L. Kavandi,Chemistry; Doctor of Philosophy (PhD),"BS (Missouri Southern State University, 1980); MS (Missouri University of Science and Technology, 1982); PhD (University of Washington, 1990)",American scientist; NASA astronaut; President of Sierra Space; Center Director at NASA Glenn Research Center,33d 20h 8m,,American,66
Janice E. Voss,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in engineering science (Purdue University, 1975); Master of Science in electrical engineering (Massachusetts Institute of Technology, 1977); Doctor of Philosophy in aeronautics and astronautics (Massachusetts Institute of Technology, 1987); None (University of Oklahoma, None); None (Rice University, None)",Engineer; NASA astronaut; Co-op at NASA Johnson Space Center; Crew trainer; Mission specialist; Science Director for NASA's Kepler space telescope,49d 3h 49m,No explicit interests mentioned,American,
Jay C. Buckey,Bachelor of Science degree; M.D.,"Bachelor of Science in Electrical Engineering (Cornell University, 1977); M.D. (Cornell, 1981)",Medical Doctor; Astronaut; Professor of Medicine; Flight Surgeon,15d 21h 50m,,American,69
Jean-Jacques Favier,Engineering degree from the INPG-ENSEEG; Doctor of Philosophy (PhD),"Engineering degree (Grenoble Institute of Technology, 1971); PhD in engineering (École des mines de Paris, 1977); PhD in metallurgy and physics (University of Grenoble, 1977)",Engineer; CNES Astronaut,16d 21h 48m,skiing; tennis; wind-surfing; archaeology,France,
Jeffrey A. Hoffman,Bachelor of Arts degree; Doctor of Philosophy (PhD); Master of Science degree,"BA in Astronomy (Amherst College, 1966); PhD in Astrophysics (Harvard University, 1971); MSc in Materials Science (Rice University, 1988)",Astronaut; Professor of Aeronautics and Astronautics at MIT,50d 11h 54m,,American,80
Jeffrey Nels Williams,Applied Science and Engineering,"Applied Science and Engineering (United States Military Academy, 1980)",Retired United States Army officer; NASA astronaut,534d 2h 48m,,United States,67
Jeffrey Shears Ashby,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mechanical Engineering (University of Idaho, 1976); Master of Science in Aviation Systems (University of Tennessee, 1993)","Mechanical Engineer; Naval Officer; Aviator; Test Pilot; NASA Astronaut; Captain, U.S. Navy; Chief of Mission Assurance at Blue Origin",27d 16h 19m,,American,71
Jerome Apt,Bachelor of Arts degree; Doctor of Philosophy (PhD),"Bachelor of Arts in physics (Harvard University, 1971); Doctor of Philosophy in physics (Massachusetts Institute of Technology, 1976)",Astronaut; Professor at Carnegie Mellon University; Physicist,35d 7h 10min,,United States,76
Jerry L. Ross,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mechanical Engineering (Purdue University, 1970); Master of Science in Mechanical Engineering (Purdue University, 1972)","Colonel, USAF; Engineer; NASA Astronaut",58d 0h 52m,,United States,77
Jerry M. Linenger,Bachelor of Science degree; Doctorate in medicine; Master of Science degree; Master's degree; Doctor of Philosophy (PhD),"Bachelor of Science in bioscience (United States Naval Academy, 1977); Doctorate in medicine (Wayne State University School of Medicine, 1981); Master of Science in systems management (University of Southern California, 1988); Master of Public Health in health policy (University of North Carolina at Chapel Hill, 1989); Doctor of Philosophy in epidemiology (University of North Carolina, 1989)","Captain, USN; NASA astronaut; Naval flight surgeon",143d 2h 50m,,U.S.,70
Jessica Ulrika Meir,Bachelor of Science degree; Master's degree; Doctor of Philosophy (PhD),"Bachelor of Science in Biology (Brown University, 1999); Master of Space Studies (International Space University, 2000); Ph.D. in Marine Biology (Scripps Institution of Oceanography, 2009)","NASA Astronaut; Marine Biologist; Physiologist; Assistant Professor of Anesthesia, Harvard Medical School",204d 15h 19m,recreational cycling; hiking; running; skiing; soccer; scuba diving; reading classical literature,United States,48
Jim Lovell,Bachelor of Science degree,"None (University of Wisconsin, Madison, None); BS (United States Naval Academy, 1952)",American astronaut; Naval aviator; Test pilot; Mechanical engineer,"29 days, 19 hours, 5 minutes",rocketry; building flying models,American,
Jim Wetherbee,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (University of Notre Dame, 1974)",United States Navy officer; Aviator; Test pilot; Aerospace engineer; NASA astronaut; Consultant; Safety auditor; Drummer,66d 10h 23m,tennis; skiing; softball; running; music,United States,72
Jing Haipeng,,,PLA Ground Force 82nd Group Army vice-commander; PLA Air Force fighter pilot; Major General; Astronaut,"201 days, 17 hours and 2 minutes",,Chinese,58
Joan Higginbotham,Bachelor of Science degree; Master's degree,"Bachelor of Science (Southern Illinois University Carbondale, 1987); Master's in Management Science (Florida Institute of Technology, 1992); Master's in Space Systems (Florida Institute of Technology, 1996)",Electrical Engineer; Astronaut,12d 20h 45m,,U.S.,61
Joe F. Edwards Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1980); Master of Science in Aviation Systems (University of Tennessee, Knoxville, 1994)",Aerospace engineer; Naval officer; Aviator; Test pilot; NASA astronaut,"8 days, 19 hours, 47 seconds",,American,67
Joe Henry Engle,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (University of Kansas, 1955)","Major General, USAF / ANG; NASA astronaut; Test pilot; Deputy associate administrator for manned space flight",9d 8h 30m,flying (including World War II fighter aircraft); big game hunting; backpacking; athletics,American,91
John Bennett Herrington,Bachelor's degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor's degree in applied mathematics (University of Colorado Colorado Springs, None); Master of Science in aeronautical engineering (Naval Postgraduate School, 1995); PhD in education (University of Idaho, 2014)","United States Naval Aviator; Engineer; NASA Astronaut; Vice President/Director of flight Operations for Rocketplane Limited, Inc.","13 days, 18 hours and 47 minutes",rock climbing; public speaking; bicycle rides,American,67
John Casper,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Engineering Science (United States Air Force Academy, 1966); Master of Science in Astronautics (Purdue University, 1967)","Former American astronaut; Retired United States Air Force pilot; Colonel, USAF",34d 9h 52m,,United States,82
John D. Olivas,Bachelor of Science degree; Master of Science degree; Doctorate in mechanical engineering and materials science,"Bachelor of Science in mechanical engineering (University of Texas at El Paso, 1989); Master of Science in mechanical engineering (University of Houston, 1993); Doctorate in mechanical engineering and materials science (Rice University, 1996)",Engineer; NASA Astronaut; Director of the Center for the Advancement of Space Safety and Mission Assurance Research,27d 17h 5m,,American,59
John E. Blaha,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in engineering science (United States Air Force Academy, 1965); Master of Science in astronautical engineering (Purdue University, 1966)","Colonel, US Air Force; NASA astronaut; Test pilot","161 days, 2 hours and 45 minutes",,United States,83
