name,degrees,nationality,age,cleaned_name,Mission.Role,degree level,major,major category
Donald McMonagle,"Bachelor of Science in astronautical engineering (United States Air Force Academy, 1974)",United States,73.0,Donald McMonagle,pilot,bachelor,Science in astronautical engineering,engineering
Donald McMonagle,"Master of Science in mechanical engineering (California State University, Fresno, 1985)",United States,73.0,Donald McMonagle,pilot,bachelor,Science in mechanical engineering,engineering
Donald McMonagle,"Master of Business Administration (University of Michigan Ross School of Business, 2003)",United States,73.0,Donald McMonagle,pilot,bachelor,Business Administration,social science
Donald McMonagle,"Bachelor of Science in astronautical engineering (United States Air Force Academy, 1974)",United States,73.0,Donald McMonagle,commander,bachelor,Science in astronautical engineering,engineering
Donald McMonagle,"Master of Science in mechanical engineering (California State University, Fresno, 1985)",United States,73.0,Donald McMonagle,commander,bachelor,Science in mechanical engineering,engineering
Donald McMonagle,"Master of Business Administration (University of Michigan Ross School of Business, 2003)",United States,73.0,Donald McMonagle,commander,bachelor,Business Administration,social science
Dong Chen,"Doctor's degree in cell and molecular biology (University of Alabama at Birmingham, 1996)",Chinese,58.0,Dong Chen,flight engineer,doctor,Biology,natural science
Donn Eisele,"Bachelor of Science (United States Naval Academy, 1952)",United States,,Donn Eisele,pilot,bachelor,Science,natural science
Donn Eisele,"Master of Science in Astronautics (U.S. Air Force Institute of Technology, 1960)",United States,,Donn Eisele,pilot,bachelor,Science in Astronautics,natural science
Dorothy Metcalf-Lindenburger,"BS Geology (Whitman College, 1997)",United States,50.0,Dorothy Metcalf-Lindenburger,msp,bachelor,Geology,natural science
Dorothy Metcalf-Lindenburger,"Teaching Certification (Central Washington University, 1999)",United States,50.0,Dorothy Metcalf-Lindenburger,msp,bachelor,,
Dorothy Metcalf-Lindenburger,"MS Geology (University of Washington, 2016)",United States,50.0,Dorothy Metcalf-Lindenburger,msp,master,Geology,natural science
Douglas Wheelock,"Bachelor of Science in applied science and engineering (United States Military Academy, 1983)",USA,65.0,Douglas Wheelock,msp,bachelor,Science in applied science and engineering,engineering
Douglas Wheelock,"Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1992)",USA,65.0,Douglas Wheelock,msp,bachelor,Science in Aerospace Engineering,engineering
Douglas Wheelock,"Bachelor of Science in applied science and engineering (United States Military Academy, 1983)",USA,65.0,Douglas Wheelock,flight engineer,bachelor,Science in applied science and engineering,engineering
Douglas Wheelock,"Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1992)",USA,65.0,Douglas Wheelock,flight engineer,bachelor,Science in Aerospace Engineering,engineering
Duane Carey,"Bachelor of Science in Aerospace Engineering and Mechanics (University of Minnesota, 1981)",United States,68.0,Duane Carey,pilot,bachelor,Science in Aerospace Engineering and Mechanics,engineering
Duane Carey,"Master of Science in Aerospace Engineering (University of Minnesota, 1982)",United States,68.0,Duane Carey,pilot,bachelor,Science in Aerospace Engineering,engineering
Dumitru Prunariu,"Aerospace Engineering (Politehnica University of Bucharest, 1976)",Romania,72.0,Dumitru Prunariu,msp,bachelor,Aerospace Engineering,engineering
Edgar Mitchell,"Bachelor of Science in Industrial Management (Carnegie Institute of Technology, 1952)",United States,,Edgar Mitchell,pilot,bachelor,Science in Industrial Management,social science
Edgar Mitchell,"Bachelor of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1961)",United States,,Edgar Mitchell,pilot,,Science in Aeronautical Engineering,engineering
Edgar Mitchell,"Doctor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1964)",United States,,Edgar Mitchell,pilot,doctor,Science in Aeronautics and Astronautics,natural science
Edward Gibson,"Bachelor of Science in Engineering (University of Rochester, 1959)",U.S.,88.0,Edward Gibson,msp,bachelor,Science in Engineering,engineering
Edward Gibson,"Master of Science in Engineering (Jet Propulsion, California Institute of Technology, 1960)",U.S.,88.0,Edward Gibson,msp,bachelor,Science in Engineering,engineering
Edward Gibson,"PhD in Engineering with a Minor in Physics (California Institute of Technology, 1964)",U.S.,88.0,Edward Gibson,msp,doctor,Engineering with a Minor in Physics,engineering
Eileen Collins,"Associate degree in mathematics (Corning Community College, 1976)",American,68.0,Eileen Collins,pilot,bachelor,Mathematics,natural science
Eileen Collins,"Bachelor of Arts in mathematics and economics (Syracuse University, 1978)",American,68.0,Eileen Collins,pilot,bachelor,Arts in mathematics and economics,social science
Eileen Collins,"Master of Science in operations research (Stanford University, 1986)",American,68.0,Eileen Collins,pilot,bachelor,Science in operations research,natural science
Eileen Collins,"Master of Arts in space systems management (Webster University, 1989)",American,68.0,Eileen Collins,pilot,bachelor,Arts in space systems management,social science
Eileen Collins,"Associate degree in mathematics (Corning Community College, 1976)",American,68.0,Eileen Collins,pilot,bachelor,Mathematics,natural science
Eileen Collins,"Bachelor of Arts in mathematics and economics (Syracuse University, 1978)",American,68.0,Eileen Collins,pilot,bachelor,Arts in mathematics and economics,social science
Eileen Collins,"Master of Science in operations research (Stanford University, 1986)",American,68.0,Eileen Collins,pilot,bachelor,Science in operations research,natural science
Eileen Collins,"Master of Arts in space systems management (Webster University, 1989)",American,68.0,Eileen Collins,pilot,bachelor,Arts in space systems management,social science
Eileen Collins,"Associate degree in mathematics (Corning Community College, 1976)",American,68.0,Eileen Collins,commander,bachelor,Mathematics,natural science
Eileen Collins,"Bachelor of Arts in mathematics and economics (Syracuse University, 1978)",American,68.0,Eileen Collins,commander,bachelor,Arts in mathematics and economics,social science
Eileen Collins,"Master of Science in operations research (Stanford University, 1986)",American,68.0,Eileen Collins,commander,bachelor,Science in operations research,natural science
Eileen Collins,"Master of Arts in space systems management (Webster University, 1989)",American,68.0,Eileen Collins,commander,bachelor,Arts in space systems management,social science
Eileen Collins,"Associate degree in mathematics (Corning Community College, 1976)",American,68.0,Eileen Collins,commander,bachelor,Mathematics,natural science
Eileen Collins,"Bachelor of Arts in mathematics and economics (Syracuse University, 1978)",American,68.0,Eileen Collins,commander,bachelor,Arts in mathematics and economics,social science
Eileen Collins,"Master of Science in operations research (Stanford University, 1986)",American,68.0,Eileen Collins,commander,bachelor,Science in operations research,natural science
Eileen Collins,"Master of Arts in space systems management (Webster University, 1989)",American,68.0,Eileen Collins,commander,bachelor,Arts in space systems management,social science
Ellen Ochoa,"Bachelor of Science degree in physics (San Diego State University, 1980)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Master of Science degree (Stanford University, 1981)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Doctorate in Electrical Engineering (Stanford University, 1985)",United States,67.0,Ellen Ochoa,msp,doctor,Electrical Engineering,engineering
Ellen Ochoa,"Bachelor of Science degree in physics (San Diego State University, 1980)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Master of Science degree (Stanford University, 1981)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Doctorate in Electrical Engineering (Stanford University, 1985)",United States,67.0,Ellen Ochoa,msp,doctor,Electrical Engineering,engineering
Ellen Ochoa,"Bachelor of Science degree in physics (San Diego State University, 1980)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Master of Science degree (Stanford University, 1981)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Doctorate in Electrical Engineering (Stanford University, 1985)",United States,67.0,Ellen Ochoa,msp,doctor,Electrical Engineering,engineering
Ellen Ochoa,"Bachelor of Science degree in physics (San Diego State University, 1980)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Master of Science degree (Stanford University, 1981)",United States,67.0,Ellen Ochoa,msp,bachelor,Science,natural science
Ellen Ochoa,"Doctorate in Electrical Engineering (Stanford University, 1985)",United States,67.0,Ellen Ochoa,msp,doctor,Electrical Engineering,engineering
Ellen Baker,"BS (University at Buffalo, 1974)",American,72.0,Ellen Baker,msp,bachelor,,
Ellen Baker,"MD (Cornell University, 1978)",American,72.0,Ellen Baker,msp,doctor,,
Ellen Baker,"MPH (University of Texas, Houston, 1994)",American,72.0,Ellen Baker,msp,bachelor,,
Ellen Baker,"BS (University at Buffalo, 1974)",American,72.0,Ellen Baker,msp,bachelor,,
Ellen Baker,"MD (Cornell University, 1978)",American,72.0,Ellen Baker,msp,doctor,,
Ellen Baker,"MPH (University of Texas, Houston, 1994)",American,72.0,Ellen Baker,msp,bachelor,,
Ellen Baker,"BS (University at Buffalo, 1974)",American,72.0,Ellen Baker,msp,bachelor,,
Ellen Baker,"MD (Cornell University, 1978)",American,72.0,Ellen Baker,msp,doctor,,
Ellen Baker,"MPH (University of Texas, Houston, 1994)",American,72.0,Ellen Baker,msp,bachelor,,
Ellison Onizuka,"Bachelor of Science in Aerospace Engineering (University of Colorado, June 1969)",United States,,Ellison Onizuka,msp,bachelor,Science in Aerospace Engineering,engineering
Ellison Onizuka,"Master of Science in Aerospace Engineering (University of Colorado, December 1969)",United States,,Ellison Onizuka,msp,bachelor,Science in Aerospace Engineering,engineering
Ellison Onizuka,"Bachelor of Science in Aerospace Engineering (University of Colorado, June 1969)",United States,,Ellison Onizuka,msp,bachelor,Science in Aerospace Engineering,engineering
Ellison Onizuka,"Master of Science in Aerospace Engineering (University of Colorado, December 1969)",United States,,Ellison Onizuka,msp,bachelor,Science in Aerospace Engineering,engineering
Ernst Willi Messerschmid,"Diplom degree (University of Tübingen and Bonn, 1972)",Germany,80.0,Ernst Willi Messerschmid,psp,bachelor,,
Ernst Willi Messerschmid,"Doctorate (University of Tübingen and Bonn, 1976)",Germany,80.0,Ernst Willi Messerschmid,psp,doctor,,
Frank Borman,"Bachelor of Science (United States Military Academy, 1950)",United States,,Frank Borman,commander,bachelor,Science,natural science
Frank Borman,"Master of Science in Aeronautical Engineering (California Institute of Technology, 1957)",United States,,Frank Borman,commander,bachelor,Science in Aeronautical Engineering,engineering
Frank Borman,"Bachelor of Science (United States Military Academy, 1950)",United States,,Frank Borman,commander,bachelor,Science,natural science
Frank Borman,"Master of Science in Aeronautical Engineering (California Institute of Technology, 1957)",United States,,Frank Borman,commander,bachelor,Science in Aeronautical Engineering,engineering
Frank De Winne,Master of Sciences in Engineering (Polytechnics),Belgium,64.0,Frank De Winne,commander,,Sciences in Engineering,engineering
Frank De Winne,Degree as test pilot from the British Empire Test Pilots' School,Belgium,64.0,Frank De Winne,commander,,,
Frank De Winne,Master of Sciences in Engineering (Polytechnics),Belgium,64.0,Frank De Winne,commander,,Sciences in Engineering,engineering
Frank De Winne,Degree as test pilot from the British Empire Test Pilots' School,Belgium,64.0,Frank De Winne,commander,,,
Franklin Story Musgrave,"Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Mathematics and Statistics,natural science
Franklin Story Musgrave,"Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Business Administration in Operations Analysis and Computer Programming,social science
Franklin Story Musgrave,"Bachelor of Arts in Chemistry (Marietta College, 1960)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Chemistry,natural science
Franklin Story Musgrave,"Doctor of Medicine (Columbia University, 1964)",United States,90.0,Franklin Story Musgrave,msp,doctor,Medicine,natural science
Franklin Story Musgrave,"Master of Science in Physiology and Biophysics (University of Kentucky, 1966)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Physiology and Biophysics,natural science
Franklin Story Musgrave,"Master of Arts in Literature (University of Houston–Clear Lake, 1987)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Literature,natural science
Franklin Story Musgrave,"Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Mathematics and Statistics,natural science
Franklin Story Musgrave,"Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Business Administration in Operations Analysis and Computer Programming,social science
Franklin Story Musgrave,"Bachelor of Arts in Chemistry (Marietta College, 1960)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Chemistry,natural science
Franklin Story Musgrave,"Doctor of Medicine (Columbia University, 1964)",United States,90.0,Franklin Story Musgrave,msp,doctor,Medicine,natural science
Franklin Story Musgrave,"Master of Science in Physiology and Biophysics (University of Kentucky, 1966)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Physiology and Biophysics,natural science
Franklin Story Musgrave,"Master of Arts in Literature (University of Houston–Clear Lake, 1987)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Literature,natural science
Franklin Story Musgrave,"Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Mathematics and Statistics,natural science
Franklin Story Musgrave,"Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Business Administration in Operations Analysis and Computer Programming,social science
Franklin Story Musgrave,"Bachelor of Arts in Chemistry (Marietta College, 1960)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Chemistry,natural science
Franklin Story Musgrave,"Doctor of Medicine (Columbia University, 1964)",United States,90.0,Franklin Story Musgrave,msp,doctor,Medicine,natural science
Franklin Story Musgrave,"Master of Science in Physiology and Biophysics (University of Kentucky, 1966)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Physiology and Biophysics,natural science
Franklin Story Musgrave,"Master of Arts in Literature (University of Houston–Clear Lake, 1987)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Literature,natural science
Franklin Story Musgrave,"Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Mathematics and Statistics,natural science
Franklin Story Musgrave,"Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Business Administration in Operations Analysis and Computer Programming,social science
Franklin Story Musgrave,"Bachelor of Arts in Chemistry (Marietta College, 1960)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Chemistry,natural science
Franklin Story Musgrave,"Doctor of Medicine (Columbia University, 1964)",United States,90.0,Franklin Story Musgrave,msp,doctor,Medicine,natural science
Franklin Story Musgrave,"Master of Science in Physiology and Biophysics (University of Kentucky, 1966)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Physiology and Biophysics,natural science
Franklin Story Musgrave,"Master of Arts in Literature (University of Houston–Clear Lake, 1987)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Literature,natural science
Franklin Story Musgrave,"Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Mathematics and Statistics,natural science
Franklin Story Musgrave,"Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Business Administration in Operations Analysis and Computer Programming,social science
Franklin Story Musgrave,"Bachelor of Arts in Chemistry (Marietta College, 1960)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Chemistry,natural science
Franklin Story Musgrave,"Doctor of Medicine (Columbia University, 1964)",United States,90.0,Franklin Story Musgrave,msp,doctor,Medicine,natural science
Franklin Story Musgrave,"Master of Science in Physiology and Biophysics (University of Kentucky, 1966)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Physiology and Biophysics,natural science
Franklin Story Musgrave,"Master of Arts in Literature (University of Houston–Clear Lake, 1987)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Literature,natural science
Franklin Story Musgrave,"Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Mathematics and Statistics,natural science
Franklin Story Musgrave,"Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Business Administration in Operations Analysis and Computer Programming,social science
Franklin Story Musgrave,"Bachelor of Arts in Chemistry (Marietta College, 1960)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Chemistry,natural science
Franklin Story Musgrave,"Doctor of Medicine (Columbia University, 1964)",United States,90.0,Franklin Story Musgrave,msp,doctor,Medicine,natural science
Franklin Story Musgrave,"Master of Science in Physiology and Biophysics (University of Kentucky, 1966)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Science in Physiology and Biophysics,natural science
Franklin Story Musgrave,"Master of Arts in Literature (University of Houston–Clear Lake, 1987)",United States,90.0,Franklin Story Musgrave,msp,bachelor,Arts in Literature,natural science
Frederick Gregory,"BS (United States Air Force Academy, 1964)",United States,84.0,Frederick Gregory,pilot,bachelor,,
Frederick Gregory,"MS in Information Systems (George Washington University, 1977)",United States,84.0,Frederick Gregory,pilot,master,Information Systems,natural science
Frederick Gregory,"BS (United States Air Force Academy, 1964)",United States,84.0,Frederick Gregory,commander,bachelor,,
Frederick Gregory,"MS in Information Systems (George Washington University, 1977)",United States,84.0,Frederick Gregory,commander,master,Information Systems,natural science
Frederick Gregory,"BS (United States Air Force Academy, 1964)",United States,84.0,Frederick Gregory,commander,bachelor,,
Frederick Gregory,"MS in Information Systems (George Washington University, 1977)",United States,84.0,Frederick Gregory,commander,master,Information Systems,natural science
Frederick Hauck,"Bachelor of Science in physics (Tufts University, 1962)",United States,84.0,Frederick Hauck,pilot,bachelor,Science in physics,natural science
Frederick Hauck,"Master of Science in nuclear engineering (Massachusetts Institute of Technology, 1966)",United States,84.0,Frederick Hauck,pilot,bachelor,Science in nuclear engineering,engineering
Frederick Hauck,"Bachelor of Science in physics (Tufts University, 1962)",United States,84.0,Frederick Hauck,commander,bachelor,Science in physics,natural science
Frederick Hauck,"Master of Science in nuclear engineering (Massachusetts Institute of Technology, 1966)",United States,84.0,Frederick Hauck,commander,bachelor,Science in nuclear engineering,engineering
Frederick Hauck,"Bachelor of Science in physics (Tufts University, 1962)",United States,84.0,Frederick Hauck,commander,bachelor,Science in physics,natural science
Frederick Hauck,"Master of Science in nuclear engineering (Massachusetts Institute of Technology, 1966)",United States,84.0,Frederick Hauck,commander,bachelor,Science in nuclear engineering,engineering
Frederick Sturckow,"Bachelor of Science in mechanical engineering (California Polytechnic State University, 1984)",U.S.,64.0,Frederick Sturckow,pilot,bachelor,Science in mechanical engineering,engineering
Frederick Sturckow,"Master of Science in mechanical engineering (Florida Institute of Technology, 2000)",U.S.,64.0,Frederick Sturckow,pilot,bachelor,Science in mechanical engineering,engineering
Frederick Sturckow,"Bachelor of Science in mechanical engineering (California Polytechnic State University, 1984)",U.S.,64.0,Frederick Sturckow,pilot,bachelor,Science in mechanical engineering,engineering
Frederick Sturckow,"Master of Science in mechanical engineering (Florida Institute of Technology, 2000)",U.S.,64.0,Frederick Sturckow,pilot,bachelor,Science in mechanical engineering,engineering
Frederick Sturckow,"Bachelor of Science in mechanical engineering (California Polytechnic State University, 1984)",U.S.,64.0,Frederick Sturckow,commander,bachelor,Science in mechanical engineering,engineering
Frederick Sturckow,"Master of Science in mechanical engineering (Florida Institute of Technology, 2000)",U.S.,64.0,Frederick Sturckow,commander,bachelor,Science in mechanical engineering,engineering
Frederick Sturckow,"Bachelor of Science in mechanical engineering (California Polytechnic State University, 1984)",U.S.,64.0,Frederick Sturckow,commander,bachelor,Science in mechanical engineering,engineering
Frederick Sturckow,"Master of Science in mechanical engineering (Florida Institute of Technology, 2000)",U.S.,64.0,Frederick Sturckow,commander,bachelor,Science in mechanical engineering,engineering
Fyodor Yurchikhin,"Mechanical Engineer (Moscow Aviation Institute, 1983)",Russia,66.0,Fyodor Yurchikhin,msp,,,
Fyodor Yurchikhin,"Ph.D. in Economics (Russian Presidential Academy of National Economy and Public Administration, 2001)",Russia,66.0,Fyodor Yurchikhin,msp,doctor,Economics,social science
Fyodor Yurchikhin,"Mechanical Engineer (Moscow Aviation Institute, 1983)",Russia,66.0,Fyodor Yurchikhin,flight engineer,,,
Fyodor Yurchikhin,"Ph.D. in Economics (Russian Presidential Academy of National Economy and Public Administration, 2001)",Russia,66.0,Fyodor Yurchikhin,flight engineer,doctor,Economics,social science
Fyodor Yurchikhin,"Mechanical Engineer (Moscow Aviation Institute, 1983)",Russia,66.0,Fyodor Yurchikhin,commander,,,
Fyodor Yurchikhin,"Ph.D. in Economics (Russian Presidential Academy of National Economy and Public Administration, 2001)",Russia,66.0,Fyodor Yurchikhin,commander,doctor,Economics,social science
Fyodor Yurchikhin,"Mechanical Engineer (Moscow Aviation Institute, 1983)",Russia,66.0,Fyodor Yurchikhin,commander,,,
Fyodor Yurchikhin,"Ph.D. in Economics (Russian Presidential Academy of National Economy and Public Administration, 2001)",Russia,66.0,Fyodor Yurchikhin,commander,doctor,Economics,social science
Fyodor Yurchikhin,"Mechanical Engineer (Moscow Aviation Institute, 1983)",Russia,66.0,Fyodor Yurchikhin,commander,,,
Fyodor Yurchikhin,"Ph.D. in Economics (Russian Presidential Academy of National Economy and Public Administration, 2001)",Russia,66.0,Fyodor Yurchikhin,commander,doctor,Economics,social science
David Low,"Bachelor of Science degree in Physics - Engineering (Washington & Lee University, 1978)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Bachelor of Science degree in mechanical engineering (Cornell University, 1980)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Master of Science degree in aeronautics and astronautics (Stanford University, 1983)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Bachelor of Science degree in Physics - Engineering (Washington & Lee University, 1978)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Bachelor of Science degree in mechanical engineering (Cornell University, 1980)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Master of Science degree in aeronautics and astronautics (Stanford University, 1983)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Bachelor of Science degree in Physics - Engineering (Washington & Lee University, 1978)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Bachelor of Science degree in mechanical engineering (Cornell University, 1980)",American,,David Low,msp,bachelor,Science,natural science
David Low,"Master of Science degree in aeronautics and astronautics (Stanford University, 1983)",American,,David Low,msp,bachelor,Science,natural science
Garrett Reisman,"BS in Economics and Mechanical Engineering & Applied Mechanics (University of Pennsylvania, 1991)",United States,57.0,Garrett Reisman,flight engineer,bachelor,Economics and Mechanical Engineering & Applied Mechanics,engineering
Garrett Reisman,"MS in Mechanical Engineering (California Institute of Technology, 1992)",United States,57.0,Garrett Reisman,flight engineer,master,Mechanical Engineering,engineering
Garrett Reisman,"PhD in Mechanical Engineering (California Institute of Technology, 1997)",United States,57.0,Garrett Reisman,flight engineer,doctor,Mechanical Engineering,engineering
Garrett Reisman,"BS in Economics and Mechanical Engineering & Applied Mechanics (University of Pennsylvania, 1991)",United States,57.0,Garrett Reisman,msp,bachelor,Economics and Mechanical Engineering & Applied Mechanics,engineering
Garrett Reisman,"MS in Mechanical Engineering (California Institute of Technology, 1992)",United States,57.0,Garrett Reisman,msp,master,Mechanical Engineering,engineering
Garrett Reisman,"PhD in Mechanical Engineering (California Institute of Technology, 1997)",United States,57.0,Garrett Reisman,msp,doctor,Mechanical Engineering,engineering
Gennady Padalka,,Russia,67.0,Gennady Padalka,commander,,,
Gennady Padalka,,Russia,67.0,Gennady Padalka,commander,,,
Gennady Padalka,,Russia,67.0,Gennady Padalka,commander,,,
Gennady Padalka,,Russia,67.0,Gennady Padalka,commander,,,
Gennady Padalka,,Russia,67.0,Gennady Padalka,commander,,,
George Zamka,"Bachelor of Science in Mathematics (United States Naval Academy, 1984)",U.S.,63.0,George Zamka,pilot,bachelor,Science in Mathematics,natural science
George Zamka,"Master of Science in Engineering Management (Florida Institute of Technology, 1997)",U.S.,63.0,George Zamka,pilot,bachelor,Science in Engineering Management,engineering
George Zamka,"Bachelor of Science in Mathematics (United States Naval Academy, 1984)",U.S.,63.0,George Zamka,commander,bachelor,Science in Mathematics,natural science
George Zamka,"Master of Science in Engineering Management (Florida Institute of Technology, 1997)",U.S.,63.0,George Zamka,commander,bachelor,Science in Engineering Management,engineering
Gerald Carr,"Bachelor of Engineering in mechanical engineering (University of Southern California, 1954)",American,,Gerald Carr,commander,bachelor,Engineering in mechanical engineering,engineering
Gerald Carr,"Bachelor of Science in aeronautical engineering (U.S. Naval Postgraduate School, 1961)",American,,Gerald Carr,commander,,Science in aeronautical engineering,engineering
Gerald Carr,"Master of Science in aeronautical engineering (Princeton University, 1962)",American,,Gerald Carr,commander,bachelor,Science in aeronautical engineering,engineering
Gerhard Thiele,"Doctorate in Environmental Science (University of Heidelberg, 1985)",German,72.0,Gerhard Thiele,msp,doctor,Environmental Science,natural science
Gherman Titov,,Russian,,Gherman Titov,pilot,,,
Gregory Bruce Jarvis,"Bachelor of Science in electrical engineering (State University of New York at Buffalo, 1967)",American,41.0,Gregory Bruce Jarvis,psp,bachelor,Science in electrical engineering,engineering
Gregory Bruce Jarvis,"Master of Science in electrical engineering (Northeastern University, 1969)",American,41.0,Gregory Bruce Jarvis,psp,bachelor,Science in electrical engineering,engineering
Gregory Johnson,"Bachelor of Science in Aerospace Engineering (University of Washington, 1977)",United States,71.0,Gregory Johnson,pilot,bachelor,Science in Aerospace Engineering,engineering
Gregory Johnson,"Bachelor of Science in Aerospace Engineering (University of Washington, 1977)",United States,71.0,Gregory Johnson,pilot,bachelor,Science in Aerospace Engineering,engineering
Gregory Johnson,"Bachelor of Science in Aerospace Engineering (University of Washington, 1977)",United States,71.0,Gregory Johnson,pilot,bachelor,Science in Aerospace Engineering,engineering
Gregory Chamitoff,"B.S. Electrical Engineering (California Polytechnic State University, 1984)",USA,63.0,Gregory Chamitoff,flight engineer,bachelor,Electrical Engineering,engineering
Gregory Chamitoff,"M.S. Aeronautical Engineering (California Institute of Technology, 1985)",USA,63.0,Gregory Chamitoff,flight engineer,bachelor,,
Gregory Chamitoff,"Ph.D. Aeronautics and Astronautics (Massachusetts Institute of Technology, 1992)",USA,63.0,Gregory Chamitoff,flight engineer,doctor,Aeronautics and Astronautics,natural science
Gregory Chamitoff,"M.S. Physical Sciences (Space Science, University of Houston–Clear Lake, 2002)",USA,63.0,Gregory Chamitoff,flight engineer,bachelor,,
Gregory Chamitoff,"B.S. Electrical Engineering (California Polytechnic State University, 1984)",USA,63.0,Gregory Chamitoff,msp,bachelor,Electrical Engineering,engineering
Gregory Chamitoff,"M.S. Aeronautical Engineering (California Institute of Technology, 1985)",USA,63.0,Gregory Chamitoff,msp,bachelor,,
Gregory Chamitoff,"Ph.D. Aeronautics and Astronautics (Massachusetts Institute of Technology, 1992)",USA,63.0,Gregory Chamitoff,msp,doctor,Aeronautics and Astronautics,natural science
Gregory Chamitoff,"M.S. Physical Sciences (Space Science, University of Houston–Clear Lake, 2002)",USA,63.0,Gregory Chamitoff,msp,bachelor,,
Gregory Johnson,"Bachelor of Science in aeronautical engineering (United States Air Force Academy, 1984)",American,63.0,Gregory Johnson,pilot,bachelor,Science in aeronautical engineering,engineering
Gregory Johnson,"Master of Science in flight structures engineering (Columbia University, 1985)",American,63.0,Gregory Johnson,pilot,bachelor,Science in flight structures engineering,engineering
Gregory Johnson,"Master of Business Administration (University of Texas at Austin, 2005)",American,63.0,Gregory Johnson,pilot,bachelor,Business Administration,social science
Gregory Johnson,"Bachelor of Science in aeronautical engineering (United States Air Force Academy, 1984)",American,63.0,Gregory Johnson,pilot,bachelor,Science in aeronautical engineering,engineering
Gregory Johnson,"Master of Science in flight structures engineering (Columbia University, 1985)",American,63.0,Gregory Johnson,pilot,bachelor,Science in flight structures engineering,engineering
Gregory Johnson,"Master of Business Administration (University of Texas at Austin, 2005)",American,63.0,Gregory Johnson,pilot,bachelor,Business Administration,social science
