name,degrees,education,occupations,time_in_space,interests,nationality,age
David Cornell Leestma,"['Bachelor of Science in Aeronautical Engineering (United States Naval Academy, 1971)', 'Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1972)']","[{'institution': 'United States Naval Academy', 'year': 1971, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1972, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['Captain, United States Navy', 'Astronaut', 'Assistant Program Manager for the Orbital Space Plane Program']",22d 4d 32m,"['golfing', 'tennis', 'aviation', 'fishing']",United States,76.0
David M. Brown,"['BS (College of William & Mary, 1978)', 'MD (Eastern Virginia Medical School, 1982)']","[{'institution': 'College of William & Mary', 'year': 1978, 'qualification': 'BS in Biology'}, {'institution': 'Eastern Virginia Medical School', 'year': 1982, 'qualification': 'Doctorate in Medicine'}]","['United States Navy Captain', 'NASA Astronaut', 'Naval Aviator', 'Flight Surgeon']",15 days 22 hours 20 minutes,[],United States,46.0
David M. Walker,"['Bachelor of Science (United States Naval Academy, 1966)']","[{'institution': 'United States Naval Academy', 'year': 1966, 'qualification': 'Bachelor of Science'}]","['American naval officer', 'aviator', 'fighter pilot', 'test pilot', 'NASA astronaut']",30d 4h 27m,[],United States,56.0
David Scott,"['Bachelor of Science degree in military science (United States Military Academy, 1954)', 'Master of Science degree in Aeronautics/Astronautics (Massachusetts Institute of Technology, 1962)', 'Engineer in Aeronautics/Astronautics (Massachusetts Institute of Technology, 1962)']","[{'institution': 'United States Military Academy', 'year': 1954, 'qualification': 'Bachelor of Science degree in military science'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1962, 'qualification': 'Master of Science degree in Aeronautics/Astronautics'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1962, 'qualification': 'Engineer in Aeronautics/Astronautics'}]","['Test Pilot', 'NASA Astronaut', 'Brigadier General, USAF']",22d 18h 54m,[],United States,93.0
Dennis Anthony Tito,"['Bachelor of Science in astronautics and aeronautics (New York University, 1962)', 'Master of Science in engineering science (Rensselaer Polytechnic Institute, Hartford, Connecticut)', 'Honorary Doctorate of Engineering (Rensselaer Polytechnic Institute, 2002)']","[{'institution': 'New York University', 'year': 1962, 'qualification': 'Bachelor of Science in astronautics and aeronautics'}, {'institution': 'Rensselaer Polytechnic Institute', 'year': None, 'qualification': 'Master of Science in engineering science'}, {'institution': 'Rensselaer Polytechnic Institute', 'year': 2002, 'qualification': 'Honorary Doctorate of Engineering'}]","['Engineer', 'Entrepreneur', 'Scientist at NASA Jet Propulsion Laboratory']",7d 22h 04m,[],United States,85.0
Dick Scobee,"['Bachelor of Science in Aerospace Engineering (University of Arizona, 1965)']","[{'institution': 'University of Arizona', 'year': 1965, 'qualification': 'Bachelor of Science in Aerospace Engineering'}]","['Pilot', 'Engineer', 'Astronaut', 'Lieutenant Colonel, United States Air Force', 'Combat Aviator', 'Air Force Test Pilot']",6d 23h 40m,[],American,46.0
Dirk Frimout,"[""Engineer's degree in electrical engineering (University of Ghent, 1963)"", 'PhD in applied physics (University of Ghent, 1970)', 'Post-doctorate at University of Colorado Laboratory for Atmospheric and Space Physics (1971–1972)']","[{'institution': 'University of Ghent', 'year': 1963, 'qualification': ""Engineer's degree in electrical engineering""}, {'institution': 'University of Ghent', 'year': 1970, 'qualification': 'PhD in applied physics'}, {'institution': 'University of Colorado Laboratory for Atmospheric and Space Physics', 'year': None, 'qualification': 'Post-doctorate'}]","['Astrophysicist', 'Payload Specialist']",8d 22h 09m,"['running', 'cycling', 'walking', 'traveling', 'chess']",Belgium,84.0
Dmitri Kondratyev,"['Pilot-Engineer (Kacha Air Force Pilot School, 1990)', 'Economist (Moscow State University for Economy, Statistics and Computer Science, 2000)', 'Yuri A. Gagarin Air Force Academy, 2004']","[{'institution': 'Alma-Aty Aviation Club', 'year': 1986, 'qualification': 'Yak-52 flight training'}, {'institution': 'Kacha Air Force Pilot School', 'year': 1990, 'qualification': 'Pilot-Engineer'}, {'institution': 'Moscow State University for Economy, Statistics and Computer Science (MESI)', 'year': 2000, 'qualification': 'Economist'}, {'institution': 'Yuri A. Gagarin Air Force Academy', 'year': 2004, 'qualification': None}]","['Colonel, Russian Air Force', 'Cosmonaut']",159d 7h 17m,"['computers', 'karate', 'economics', 'fishing']",Russia,56.0
Dominic A. Antonelli,"['Bachelor of Science in aeronautics and astronautics (Massachusetts Institute of Technology)', 'Master of Science in aeronautics and astronautics (University of Washington)']","[{'institution': 'Massachusetts Institute of Technology', 'year': None, 'qualification': 'Bachelor of Science in aeronautics and astronautics'}, {'institution': 'University of Washington', 'year': None, 'qualification': 'Master of Science in aeronautics and astronautics'}]","['Commander, USN', 'Naval Aviator', 'Landing Signal Officer', 'NASA Astronaut']",24d 13h 58m,[],U.S.,58.0
Dominic L. Pudwill Gorie,"['Bachelor of Science in Ocean Engineering (United States Naval Academy, 1979)', 'Master of Science in Aviation Systems (University of Tennessee Space Institute, 1990)']","[{'institution': 'United States Naval Academy', 'year': 1979, 'qualification': 'Bachelor of Science in Ocean Engineering'}, {'institution': 'University of Tennessee Space Institute', 'year': 1990, 'qualification': 'Master of Science in Aviation Systems'}]","['Captain, USN', 'NASA Astronaut', 'Naval Aviator', 'Test Pilot']",49d 0h 6m,[],United States,68.0
Don Leslie Lind,"['Bachelor of Science in Physics (University of Utah, 1953)', 'PhD in High-Energy Nuclear Physics (University of California, Berkeley, 1964)']","[{'institution': 'University of Utah', 'year': 1953, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'University of California, Berkeley', 'year': 1964, 'qualification': 'PhD in High-Energy Nuclear Physics'}]","['Scientist', 'Naval Officer', 'Aviator', 'NASA Astronaut']",7 days 0 hours 8 minutes,[],American,92.0
Donald A. Thomas,"['Bachelor of Science in Physics (Case Western Reserve University, 1977)', 'Master of Science in Materials Science (Cornell University, 1980)', 'Doctorate in Materials Science (Cornell University, 1982)']","[{'institution': 'Case Western Reserve University', 'year': 1977, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'Cornell University', 'year': 1980, 'qualification': 'Master of Science in Materials Science'}, {'institution': 'Cornell University', 'year': 1982, 'qualification': 'Doctorate in Materials Science'}]","['Engineer', 'Astronaut', 'Senior Member of the Technical Staff at AT&T Bell Laboratories', 'Adjunct Professor at Trenton State College', 'Director of Operations for NASA at Gagarin Cosmonaut Training Center', 'Head of the Willard Hackerman Academy of Mathematics and Science at Towson University']",43d 8h 13m,[],American,70.0
Donald E. Williams,"['Bachelor of Science in mechanical engineering (Purdue University, 1964)']","[{'institution': 'Purdue University', 'year': 1964, 'qualification': 'Bachelor of Science in mechanical engineering'}]","['American naval officer', 'aviator', 'test pilot', 'mechanical engineer', 'NASA astronaut']",11d 23h 34m,[],United States,
Donald H. Peterson,"['Bachelor of Science (United States Military Academy, 1955)', 'Master of Science (U.S. Air Force Institute of Technology, Air University, 1962)']","[{'institution': 'United States Military Academy', 'year': 1955, 'qualification': 'Bachelor of Science'}, {'institution': 'U.S. Air Force Institute of Technology, Air University', 'year': 1962, 'qualification': 'Master of Science'}]","['United States Air Force officer', 'NASA astronaut', 'Mission Specialist on STS-6', 'Flight instructor', 'Military training officer', 'Nuclear systems analyst', 'Fighter pilot']",120 hours,[],United States,
"Donald Kent ""Deke"" Slayton","['Bachelor of Science in Aeronautical Engineering (University of Minnesota, 1949)']","[{'institution': 'University of Minnesota', 'year': 1949, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}]","['American Air Force pilot', 'Aeronautical engineer', 'Test pilot', 'NASA Mercury Seven astronaut', ""NASA's first Chief of the Astronaut Office"", 'Director of Flight Crew Operations']",9 days 1 hour 28 minutes,[],United States,
Donald R. McMonagle,"['Bachelor of Science in astronautical engineering (United States Air Force Academy, 1974)', 'Master of Science in mechanical engineering (California State University, Fresno, 1985)', 'Master of Business Administration (University of Michigan Ross School of Business, 2003)']","[{'institution': 'United States Air Force Academy', 'year': 1974, 'qualification': 'Bachelor of Science in astronautical engineering'}, {'institution': 'California State University, Fresno', 'year': 1985, 'qualification': 'Master of Science in mechanical engineering'}, {'institution': 'University of Michigan Ross School of Business', 'year': 2003, 'qualification': 'Master of Business Administration'}]","['Colonel, USAF', 'Astronaut', 'Mission Specialist, NASA', 'Pilot, NASA', 'Commander, NASA']",25d 5h 34m,[],United States,73.0
Donald Roy Pettit,"['Bachelor of Science in chemical engineering (Oregon State University, 1978)', 'Ph.D. in chemical engineering (University of Arizona, 1983)']","[{'institution': 'Oregon State University', 'year': 1978, 'qualification': 'Bachelor of Science in chemical engineering'}, {'institution': 'University of Arizona', 'year': 1983, 'qualification': 'Ph.D. in chemical engineering'}]","['American astronaut', 'Chemical engineer', 'Scientist at Los Alamos National Laboratory', 'Astrophotographer']","590 days, 1 hour, 38 minutes","['orbital astrophotography', 'in-space inventions']",American,70.0
Dong Chen,"[""Doctor's degree in cell and molecular biology (University of Alabama at Birmingham, 1996)""]","[{'institution': 'Wuhan University', 'year': 1989, 'qualification': None}, {'institution': 'University of Alabama at Birmingham', 'year': 1996, 'qualification': ""Doctor's degree in cell and molecular biology""}, {'institution': 'Yale School of Medicine', 'year': None, 'qualification': 'Post-doctoral research'}]","['Immunologist', 'Dean of School of Medicine, Tsinghua University', 'Director of the Institute of Immunology, Tsinghua University']",,[],Chinese,58.0
Donn F. Eisele,"['Bachelor of Science (United States Naval Academy, 1952)', 'Master of Science in Astronautics (U.S. Air Force Institute of Technology, 1960)']","[{'institution': 'United States Naval Academy', 'year': 1952, 'qualification': 'Bachelor of Science'}, {'institution': 'U.S. Air Force Institute of Technology', 'year': 1960, 'qualification': 'Master of Science in Astronautics'}, {'institution': 'Air University', 'year': None, 'qualification': 'MS'}]","['United States Air Force officer', 'NASA astronaut', 'Test pilot', 'Peace Corps country director for Thailand', 'Sales Manager for Marion Power Shovel', 'City Commissioner of Wilton Manors']",10d 20h 8m,[],United States,
Dorothy Metcalf-Lindenburger,"['BS Geology (Whitman College, 1997)', 'Teaching Certification (Central Washington University, 1999)', 'MS Geology (University of Washington, 2016)']","[{'institution': 'Whitman College', 'year': 1997, 'qualification': 'BS Geology'}, {'institution': 'Central Washington University', 'year': 1999, 'qualification': 'Teaching Certification'}, {'institution': 'University of Washington', 'year': 2016, 'qualification': 'MS Geology'}]","['Science Teacher', 'Astronaut', 'Mission Specialist']",15 days 2 hours 47 minutes,[],United States,50.0
Doug Hurley,"['B.S.E. in civil engineering (Tulane University, 1988)']","[{'institution': 'Tulane University', 'year': 1988, 'qualification': 'B.S.E. in civil engineering'}]","['Colonel, USMC', 'Engineer', 'Former NASA astronaut', 'Former Marine Corps pilot']",92d 10h 38m,[],American,58.0
Douglas H. Wheelock,"['Bachelor of Science in applied science and engineering (United States Military Academy, 1983)', 'Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1992)']","[{'institution': 'United States Military Academy', 'year': 1983, 'qualification': 'Bachelor of Science in applied science and engineering'}, {'institution': 'Georgia Institute of Technology', 'year': 1992, 'qualification': 'Master of Science in Aerospace Engineering'}]","['Colonel, USA', 'Engineer', 'Astronaut']",178d 9h 34m,[],USA,65.0
Duane G. Carey,"['Bachelor of Science in Aerospace Engineering and Mechanics (University of Minnesota, 1981)', 'Master of Science in Aerospace Engineering (University of Minnesota, 1982)']","[{'institution': 'University of Minnesota', 'year': 1981, 'qualification': 'Bachelor of Science in Aerospace Engineering and Mechanics'}, {'institution': 'University of Minnesota', 'year': 1982, 'qualification': 'Master of Science in Aerospace Engineering'}]","['Lieutenant Colonel, USAF', 'NASA astronaut', 'Pilot']",10d 22h 10m,"['National Space Society', 'American Motorcyclist Association', 'Air Force Association']",United States,68.0
Dumitru Prunariu,"['Aerospace Engineering (Politehnica University of Bucharest, 1976)']","[{'institution': 'Politehnica University of Bucharest', 'year': 1976, 'qualification': 'Aerospace Engineering'}]","['Aviator', 'Engineer', 'Diplomat', 'Cosmonaut', 'Major General, Romanian Air Force', 'Deputy Minister, Ministry of Transportation', 'Chief, Romanian Civil Aviation Department', 'President, Romanian Space Agency', 'Associate Professor, Academy of Economic Studies']",7d 20h 42m,[],Romania,72.0
Ed Lu,"['Bachelor of Science (B.S.) in electrical engineering (Cornell University)', 'Master of Science (M.S.) in applied physics (Stanford University)', 'Ph.D. in applied physics (Stanford University)']","[{'institution': 'Cornell University', 'year': None, 'qualification': 'Bachelor of Science (B.S.) in electrical engineering'}, {'institution': 'Stanford University', 'year': 1989, 'qualification': 'Master of Science (M.S.) in applied physics'}, {'institution': 'Stanford University', 'year': 1989, 'qualification': 'Ph.D. in applied physics'}]","['Physicist', 'Former NASA Astronaut', 'Program Manager at Google', 'Co-founder and Chairman of B612 Foundation', 'Chief of Innovative Applications at Liquid Robotics', 'Chief Technology Officer at Hover Inc.']",205d 23h 18m,[],United States,62.0
Ed White,"['Engineer-Physicist (United States Military Academy, 1952)', 'Aeronautical Engineering (University of Michigan, 1959)']","[{'institution': 'United States Military Academy', 'year': 1952, 'qualification': 'BS'}, {'institution': 'University of Michigan', 'year': 1959, 'qualification': 'MS'}]","['Lieutenant Colonel, USAF', 'NASA Astronaut', 'Aeronautical Engineer', 'Test Pilot']",4d 1h 56m,"['squash', 'handball', 'swimming', 'golf', 'photography']",U.S.,36.0
Edgar Mitchell,"['Bachelor of Science in Industrial Management (Carnegie Institute of Technology, 1952)', 'Bachelor of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1961)', 'Doctor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1964)']","[{'institution': 'Carnegie Institute of Technology', 'year': 1952, 'qualification': 'Bachelor of Science in Industrial Management'}, {'institution': 'U.S. Naval Postgraduate School', 'year': 1961, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1964, 'qualification': 'Doctor of Science in Aeronautics and Astronautics'}]","['United States Navy officer', 'Aviator', 'Test pilot', 'Aeronautical engineer', 'Ufologist', 'NASA astronaut']","9 days, 1 minute","['handball', 'tennis', 'swimming', 'scuba diving', 'soaring', 'consciousness', 'paranormal phenomena']",United States,
Edward Gibson,"['Bachelor of Science in Engineering (University of Rochester, 1959)', 'Master of Science in Engineering (Jet Propulsion, California Institute of Technology, 1960)', 'PhD in Engineering with a Minor in Physics (California Institute of Technology, 1964)']","[{'institution': 'University of Rochester', 'year': 1959, 'qualification': 'Bachelor of Science in Engineering'}, {'institution': 'California Institute of Technology', 'year': 1960, 'qualification': 'Master of Science in Engineering (Jet Propulsion)'}, {'institution': 'California Institute of Technology', 'year': 1964, 'qualification': 'PhD in Engineering with a Minor in Physics'}]","['NASA Astronaut', 'Pilot', 'Engineer', 'Physicist', 'Senior Research Scientist', 'Project Manager']",84 days 1 hour 15 minutes,"['swimming', 'football', 'track', 'swimming (for rehabilitation)', 'Boy Scouts of America']",U.S.,88.0
Eileen Collins,"['Associate degree in mathematics (Corning Community College, 1976)', 'Bachelor of Arts in mathematics and economics (Syracuse University, 1978)', 'Master of Science in operations research (Stanford University, 1986)', 'Master of Arts in space systems management (Webster University, 1989)']","[{'institution': 'Corning Community College', 'year': 1976, 'qualification': 'Associate degree in mathematics'}, {'institution': 'Syracuse University', 'year': 1978, 'qualification': 'Bachelor of Arts in mathematics and economics'}, {'institution': 'Stanford University', 'year': 1986, 'qualification': 'Master of Science in operations research'}, {'institution': 'Webster University', 'year': 1989, 'qualification': 'Master of Arts in space systems management'}]","['Retired NASA astronaut', 'Air Force colonel', 'Flight instructor', 'Test pilot']","36 days, 7 hours, 11 minutes","['Astronautics', 'Aviation', 'Space exploration']",American,68.0
Ellen Ochoa,"['Bachelor of Science degree in physics (San Diego State University, 1980)', 'Master of Science degree (Stanford University, 1981)', 'Doctorate in Electrical Engineering (Stanford University, 1985)']","[{'institution': 'San Diego State University', 'year': 1980, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'Stanford University', 'year': 1981, 'qualification': 'Master of Science'}, {'institution': 'Stanford University', 'year': 1985, 'qualification': 'Doctorate in Electrical Engineering'}]","['Engineer', 'Former Astronaut', 'Former Director of the Johnson Space Center', 'Researcher at Sandia National Laboratories', 'Researcher at NASA Ames Research Center']",41d 19h 35m,['playing the flute'],United States,67.0
Ellen S. Baker,"['BS (University at Buffalo, 1974)', 'MD (Cornell University, 1978)', 'MPH (University of Texas, Houston, 1994)']","[{'institution': 'University at Buffalo', 'year': 1974, 'qualification': 'Bachelor of Arts in Geology'}, {'institution': 'Cornell University', 'year': 1978, 'qualification': 'Doctorate in Medicine'}, {'institution': 'University of Texas School of Public Health', 'year': 1994, 'qualification': ""Master's Degree in Public Health""}]","['Physician', 'NASA Astronaut', 'Chief of the Astronaut Office Education/Medical Branch']",28d 14h 31m,[],American,72.0
Ellison Onizuka,"['Bachelor of Science in Aerospace Engineering (University of Colorado, June 1969)', 'Master of Science in Aerospace Engineering (University of Colorado, December 1969)']","[{'institution': 'University of Colorado, Boulder', 'year': 1969, 'qualification': 'Bachelor of Science in Aerospace Engineering'}, {'institution': 'University of Colorado, Boulder', 'year': 1969, 'qualification': 'Master of Science in Aerospace Engineering'}]","['Astronaut', 'Engineer', 'U.S. Air Force flight test engineer', 'Colonel, USAF']",3d 1h 33m,"['FFA', '4-H', 'Boy Scouts of America']",United States,
Eric Allen Boe,"['BS in Astronautical Engineering (United States Air Force Academy, 1987)', 'MS in Electrical Engineering (Georgia Institute of Technology, 1997)']","[{'institution': 'United States Air Force Academy', 'year': 1987, 'qualification': 'BS'}, {'institution': 'Georgia Institute of Technology', 'year': 1997, 'qualification': 'MS'}]","['United States Air Force fighter pilot', 'Colonel, USAF', 'Test Pilot', 'NASA Astronaut']",28d 15h 34m,[],United States,60.0
Ernst Willi Messerschmid,"['Diplom degree (University of Tübingen and Bonn, 1972)', 'Doctorate (University of Tübingen and Bonn, 1976)']","[{'institution': 'University of Tübingen and Bonn', 'year': 1972, 'qualification': 'Diplom degree'}, {'institution': 'University of Tübingen and Bonn', 'year': 1976, 'qualification': 'Doctorate'}]","['Physicist', 'Astronaut', 'Professor']",7d 00h 44m,[],Germany,80.0
Eugene H. Trinh,"['Baccalaureate (Lycee Michelet, 1968)', 'Bachelor of Science in Mechanical Engineering-Applied Physics (Columbia University, 1972)', 'Masters of Science (Yale University, 1974)', 'Masters of Philosophy (Yale University, 1975)', 'Doctorate of Philosophy in Applied Physics (Yale University, 1977)']","[{'institution': 'Lycee Michelet', 'year': 1968, 'qualification': 'Baccalaureate'}, {'institution': 'Columbia University', 'year': 1972, 'qualification': 'Bachelor of Science in Mechanical Engineering-Applied Physics'}, {'institution': 'Yale University', 'year': 1974, 'qualification': 'Masters of Science'}, {'institution': 'Yale University', 'year': 1975, 'qualification': 'Masters of Philosophy'}, {'institution': 'Yale University', 'year': 1977, 'qualification': 'Doctorate of Philosophy in Applied Physics'}]","['Biochemist', 'Director of the physical sciences research division at NASA', 'Senior research scientist at the Jet Propulsion Laboratory', 'Payload Specialist']",13 days 19 hours 30 minutes,[],American / Vietnamese,75.0
F. Drew Gaffney,"['Bachelor of Arts (University of California, Berkeley, 1968)', 'Doctor of Medicine (University of New Mexico, 1972)']","[{'institution': 'University of California, Berkeley', 'year': 1968, 'qualification': 'Bachelor of Arts'}, {'institution': 'University of New Mexico', 'year': 1972, 'qualification': 'Doctor of Medicine'}]","['Medical Doctor', 'Colonel, Texas Air National Guard', 'Flight Surgeon', 'Visiting Senior Scientist, NASA', 'Professor of Medicine']",9d 2h 14m,[],American,79.0
Fei Junlong,[],[],"['Fighter pilot', 'Taikonaut', 'Commander of Shenzhou 6', 'Commander for the Shenzhou 15 mission']","191 days, 2 hours, 58 minutes",['fine arts'],Chinese,60.0
Franco Egidio Malerba,"['Maturità classica (Lyceum)', 'University degree, Electronics Engineer (University of Genoa, 1970)', 'Doctor in Physics (University of Genoa, 1974)', 'Ph.D. in Economics (Yale University)']","[{'institution': 'Unknown Institution', 'year': 1965, 'qualification': 'Maturità classica (Lyceum)'}, {'institution': 'University of Genoa', 'year': 1970, 'qualification': 'University degree, Electronics Engineer, specializing in telecommunications'}, {'institution': 'University of Genoa', 'year': 1974, 'qualification': 'Doctor in Physics, specializing in Biophysics'}, {'institution': 'Yale University', 'year': None, 'qualification': 'Ph.D. in Economics'}]","['Italian astronaut', 'Member of the European Parliament', 'Founding Member of the Italian Space Society', 'Reserve Officer, Marina Militare', 'Science Lecturer to the Naval Academy', 'Payload Specialist', 'Staff member of ASI']",31 July 1992 to 7 August 1992,"['scuba diving', 'flying']",Italy,78.0
Frank Borman,"['Bachelor of Science (United States Military Academy, 1950)', 'Master of Science in Aeronautical Engineering (California Institute of Technology, 1957)']","[{'institution': 'United States Military Academy', 'year': 1950, 'qualification': 'Bachelor of Science'}, {'institution': 'California Institute of Technology', 'year': 1957, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['Colonel, USAF', 'Aeronautical Engineer', 'NASA Astronaut', 'Test Pilot', 'Businessman']",19d 21h 35m,"['rebuilding and modeling aircraft', 'built model airplanes', 'cattle ranching']",United States,
Frank De Winne,"['Master of Sciences in Engineering (Polytechnics)', ""Degree as test pilot from the British Empire Test Pilots' School""]","[{'institution': 'Royal School of Cadets', 'year': 1979, 'qualification': None}, {'institution': 'Royal Military Academy', 'year': 1984, 'qualification': 'Master of Sciences in Engineering (Polytechnics)'}, {'institution': 'Defence College in Brussels', 'year': 1991, 'qualification': 'Staff Course'}, {'institution': ""British Empire Test Pilots' School"", 'year': 1992, 'qualification': 'Degree as test pilot'}]","['Test pilot', 'Brigadier General, Belgian Air Force', 'ESA astronaut']","198 days, 17 hours, 34 minutes","['football', 'small PC applications', 'gastronomy']",Belgium,64.0
Frank L. Culbertson Jr.,"['Bachelor of Science degree in Aerospace Engineering (United States Naval Academy, 1971)']","[{'institution': 'United States Naval Academy', 'year': 1971, 'qualification': 'Bachelor of Science in Aerospace Engineering'}]","['Naval Officer', 'Aviator', 'Test Pilot', 'Aerospace Engineer', 'NASA Astronaut']",143d 14h 50m,[],American,76.0
Franklin Chang-Díaz,"['B.S. in Mechanical Engineering (University of Connecticut, 1973)', 'Ph.D. in Applied Plasma Physics (Massachusetts Institute of Technology, 1977)']","[{'institution': 'University of Connecticut', 'year': 1973, 'qualification': 'B.S. in Mechanical Engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1977, 'qualification': 'Ph.D. in Applied Plasma Physics'}]","['Mechanical Engineer', 'Physicist', 'Former NASA Astronaut', 'CEO of Ad Astra Rocket Company', 'Board Member of Cummins', 'Adjunct Professor in Physics and Astronomy at Rice University']",66d 18h 16m,"['environmental protection', 'raising awareness about climate change']",Costa Rican-American,75.0
Franklin Story Musgrave,"['Bachelor of Science in Mathematics and Statistics (Syracuse University, 1958)', 'Master of Business Administration in Operations Analysis and Computer Programming (University of California, Los Angeles, 1959)', 'Bachelor of Arts in Chemistry (Marietta College, 1960)', 'Doctor of Medicine (Columbia University, 1964)', 'Master of Science in Physiology and Biophysics (University of Kentucky, 1966)', 'Master of Arts in Literature (University of Houston–Clear Lake, 1987)']","[{'institution': 'Syracuse University', 'year': 1958, 'qualification': 'Bachelor of Science in Mathematics and Statistics'}, {'institution': 'University of California, Los Angeles', 'year': 1959, 'qualification': 'Master of Business Administration in Operations Analysis and Computer Programming'}, {'institution': 'Marietta College', 'year': 1960, 'qualification': 'Bachelor of Arts in Chemistry'}, {'institution': 'Columbia University', 'year': 1964, 'qualification': 'Doctor of Medicine'}, {'institution': 'University of Kentucky', 'year': 1966, 'qualification': 'Master of Science in Physiology and Biophysics'}, {'institution': 'University of Houston–Clear Lake', 'year': 1987, 'qualification': 'Master of Arts in Literature'}]","['American physician', 'Retired NASA astronaut', 'Public speaker', 'Consultant']",53d 9h 55m,"['chess', 'flying', 'gardening', 'literary criticism', 'poetry', 'microcomputers', 'parachuting', 'photography', 'reading', 'running', 'scuba diving', 'soaring']",United States,90.0
Franz Artur Viehböck,[],[],"['Electrical engineer', 'Cosmonaut', 'Director for International Business Development', 'Technology coordinator']",7d 22h 12m,[],Austria,65.0
Fred Wallace Haise Jr.,"['Associate of Arts (Perkinston Junior College, 1952)', 'Bachelor of Science in Aeronautical Engineering (University of Oklahoma, 1959)']","[{'institution': 'Perkinston Junior College', 'year': 1952, 'qualification': 'Associate of Arts'}, {'institution': 'University of Oklahoma', 'year': 1959, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}]","['NASA astronaut', 'Engineer', 'Fighter pilot, U.S. Marine Corps', 'Fighter pilot, U.S. Air Force', 'Test pilot']","5 days, 22 hours, 54 minutes",[],American,91.0
Frederick D. Gregory,"['BS (United States Air Force Academy, 1964)', 'MS in Information Systems (George Washington University, 1977)']","[{'institution': 'United States Air Force Academy', 'year': 1964, 'qualification': 'BS'}, {'institution': 'George Washington University', 'year': 1977, 'qualification': 'MS in Information Systems'}]","['United States Air Force pilot', 'Military engineer', 'Test pilot', 'NASA astronaut', 'NASA deputy administrator', 'NASA acting administrator']",18d 23h 4m,"['reading', 'boating', 'hiking', 'diving', 'biking', 'traveling']",United States,84.0
Frederick Hauck,"['Bachelor of Science in physics (Tufts University, 1962)', 'Master of Science in nuclear engineering (Massachusetts Institute of Technology, 1966)']","[{'institution': 'St. Albans School', 'year': 1958, 'qualification': None}, {'institution': 'Tufts University', 'year': 1962, 'qualification': 'Bachelor of Science in physics'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1966, 'qualification': 'Master of Science in nuclear engineering'}, {'institution': 'U.S. Naval Test Pilot School', 'year': 1971, 'qualification': None}]","['Retired captain, United States Navy', 'Fighter pilot', 'NASA astronaut', 'President and chief operating officer, AXA Space', 'Chief executive officer, AXA Space']",18d 3h 7m,[],United States,84.0
Frederick W. Leslie,"['Bachelor of Science in engineering science (The University of Texas, 1974)', ""Master's degree in meteorology (University of Oklahoma, 1977)"", 'Doctor of Philosophy in meteorology with a minor in fluid mechanics (University of Oklahoma, 1979)']","[{'institution': 'The University of Texas', 'year': 1974, 'qualification': 'Bachelor of Science in engineering science'}, {'institution': 'University of Oklahoma', 'year': 1977, 'qualification': ""Master's degree in meteorology""}, {'institution': 'University of Oklahoma', 'year': 1979, 'qualification': 'Doctor of Philosophy in meteorology with a minor in fluid mechanics'}]","['Scientist', 'Payload Specialist', 'Postdoctoral Research Associate', 'Research Scientist', 'Chief of the Fluid Dynamics Branch']",15d 21h 34m,[],American,73.0
Frederick W. Sturckow,"['Bachelor of Science in mechanical engineering (California Polytechnic State University, 1984)', 'Master of Science in mechanical engineering (Florida Institute of Technology, 2000)']","[{'institution': 'California Polytechnic State University', 'year': 1984, 'qualification': 'Bachelor of Science in mechanical engineering'}, {'institution': 'Florida Institute of Technology', 'year': 2000, 'qualification': 'Master of Science in mechanical engineering'}]","['Engineer', 'Retired United States Marine Corps officer', 'Former NASA astronaut', 'Commercial spacecraft pilot']",51d 10h 20m,"['flying', 'physical training']",U.S.,64.0
Fyodor Yurchikhin,"['Mechanical Engineer (Moscow Aviation Institute, 1983)', 'Ph.D. in Economics (Russian Presidential Academy of National Economy and Public Administration, 2001)']","[{'institution': 'Moscow Aviation Institute', 'year': 1983, 'qualification': 'Mechanical Engineer'}, {'institution': 'Russian Presidential Academy of National Economy and Public Administration', 'year': 2001, 'qualification': 'Ph.D. in Economics'}]","['Cosmonaut', 'Mechanical engineer']",672 days 20 hours 38 minutes,"['collecting stamps and space logos', 'sports', 'history of cosmonautics', 'promotion of space', 'reading history', 'science fiction', 'the classics']",Russia,66.0
