Profile.Astronaut Numbers.Overall,Profile.Astronaut Numbers.Nationwide,Profile.Name,Profile.Gender,Profile.Birth Year,Profile.Nationality,Profile.Military,Profile.Selection.Group,Profile.Selection.Year,Profile.Lifetime Statistics.Mission count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Mission.Vechicles.Orbit,Mission.Vechicles.Decent,Mission.Durations.Mission duration,Profile.Lifetime Statistics.Mission duration,Mission.Durations.EVA duration,Profile.Lifetime Statistics.EVA duration,cleaned_name,international_country,international_gender,international_flights,international_total_flights,international_flight_time,wiki_degrees,wiki_education,wiki_occupations,wiki_time_in_space,wiki_interests,wiki_nationality,wiki_age
154,83,"Walker, David Mathieson",male,1944,U.S.,True,1978 NASA group 8,1978,4,commander,1989,STS-30,STS-30,STS-30,STS-30,96.0,724.45,0.0,0.0,David Mathieson Walker,United States,Man,"STS-51-A (1984), STS-30 (1989), STS-53 (1992), STS-69 (1995)",4,030:04:30,Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science,"He then attended the United States Navy Safety Officer School atMonterey, California, and completed replacement pilot training in the F-14 Tomcat at NAS Miramar, California; He died on April 23, 2001, from cancer ; he was 56 years old and was being treated at University of Texas M; Air Force Test Pilot School at Edwards Air Force Base , California, and was subsequently assigned in January 1972 as an experimental and engineering test pilot in the flight test division at the U; Naval Test Pilot School , NAS Patuxent River , Maryland; He then attended the United States Navy Safety Officer School at Monterey, California , and completed replacement pilot training in the F-14 Tomcat at NAS Miramar, California",Fighter Pilot; Naval Aviator; Commander; Test Pilot; General,"725 hours in
           
            space",,American,1944
154,83,"Walker, David Mathieson",male,1944,U.S.,True,1978 NASA group 8,1978,4,commander,1992,STS-53,STS-53,STS-53,STS-53,175.0,724.45,0.0,0.0,David Mathieson Walker,United States,Man,"STS-51-A (1984), STS-30 (1989), STS-53 (1992), STS-69 (1995)",4,030:04:30,Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science,"He then attended the United States Navy Safety Officer School atMonterey, California, and completed replacement pilot training in the F-14 Tomcat at NAS Miramar, California; He died on April 23, 2001, from cancer ; he was 56 years old and was being treated at University of Texas M; Air Force Test Pilot School at Edwards Air Force Base , California, and was subsequently assigned in January 1972 as an experimental and engineering test pilot in the flight test division at the U; Naval Test Pilot School , NAS Patuxent River , Maryland; He then attended the United States Navy Safety Officer School at Monterey, California , and completed replacement pilot training in the F-14 Tomcat at NAS Miramar, California",Fighter Pilot; Naval Aviator; Commander; Test Pilot; General,"725 hours in
           
            space",,American,1944
154,83,"Walker, David Mathieson",male,1944,U.S.,True,1978 NASA group 8,1978,4,commander,1995,STS-69,STS-69,STS-69,STS-69,44.0,724.45,0.0,0.0,David Mathieson Walker,United States,Man,"STS-51-A (1984), STS-30 (1989), STS-53 (1992), STS-69 (1995)",4,030:04:30,Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science,"He then attended the United States Navy Safety Officer School atMonterey, California, and completed replacement pilot training in the F-14 Tomcat at NAS Miramar, California; He died on April 23, 2001, from cancer ; he was 56 years old and was being treated at University of Texas M; Air Force Test Pilot School at Edwards Air Force Base , California, and was subsequently assigned in January 1972 as an experimental and engineering test pilot in the flight test division at the U; Naval Test Pilot School , NAS Patuxent River , Maryland; He then attended the United States Navy Safety Officer School at Monterey, California , and completed replacement pilot training in the F-14 Tomcat at NAS Miramar, California",Fighter Pilot; Naval Aviator; Commander; Test Pilot; General,"725 hours in
           
            space",,American,1944
155,84,"Fisher, Anna L.",female,1949,U.S.,True,NASA- 8,1978,1,MSP,1984,STS-51-A,STS-51-A,STS-51-A,STS-51-A,191.0,191.0,0.0,0.0,Anna L. Fisher,United States,Woman,STS-51-A (1984),1,007:23:44,,"Soon after she resigned from that position, Fisher was appointed an attache to Iraq's Ministry of Education, based in Baghdad; com
 - ^""American Woman Heads School System in Iraq""Journal of Education(December 26, 1927): 645; She organized schools, encouraged the development of traditional handicrafts, and ran the American Red Cross orphanage in Damascus; She organized schools, encouraged the development of traditional handicrafts,[10]and ran the American Red Cross orphanage in Damascus; [13][14]Soon after she resigned from that position, Fisher was appointed an attache to Iraq's Ministry of Education, based in Baghdad",General; Captain; Astronaut,None,,American,1907
156,85,"Shriver, Loren J.",male,1944,U.S.,True,1978 NASA group,1978,3,pilot,1985,STS-51-C,STS-51-C,STS-51-C,STS-51-C,73.5,386.0,0.0,0.0,Loren J. Shriver,United States,Man,"STS-51-C (1985), STS-31 (1990), STS-46 (1992)",3,016:02:04,Bachelor Of Science; Master Of Science Degree In Astronautical Engineering Fr; Bachelor Of Science Degree In Aeronautical Engineering Fro; Master Of Science,"[1]Beginning in 1975, he attended theUnited States Air Force Test Pilot SchoolatEdwards Air Force Base,California; - Shriver graduated from Paton High School in 1962; [1]

Career
Shriver graduated fromPatonHigh School in 1962; - Career
  - Shriver graduated from Paton High School in 1962; Beginning in 1975, he attended the United States Air Force Test Pilot School at Edwards Air Force Base , California",Commander; Test Pilot; Colonel; General; Astronaut,386 hours in space,,American,1944
156,85,"Shriver, Loren J.",male,1944,U.S.,True,1978 NASA group,1978,3,commander,1990,STS-31,STS-31,STS-31,STS-31,121.0,386.0,0.0,0.0,Loren J. Shriver,United States,Man,"STS-51-C (1985), STS-31 (1990), STS-46 (1992)",3,016:02:04,Bachelor Of Science; Master Of Science Degree In Astronautical Engineering Fr; Bachelor Of Science Degree In Aeronautical Engineering Fro; Master Of Science,"[1]Beginning in 1975, he attended theUnited States Air Force Test Pilot SchoolatEdwards Air Force Base,California; - Shriver graduated from Paton High School in 1962; [1]

Career
Shriver graduated fromPatonHigh School in 1962; - Career
  - Shriver graduated from Paton High School in 1962; Beginning in 1975, he attended the United States Air Force Test Pilot School at Edwards Air Force Base , California",Commander; Test Pilot; Colonel; General; Astronaut,386 hours in space,,American,1944
156,85,"Shriver, Loren J.",male,1944,U.S.,True,1978 NASA group,1978,3,commander,1992,STS-46,STS-46,STS-46,STS-46,191.0,386.0,0.0,0.0,Loren J. Shriver,United States,Man,"STS-51-C (1985), STS-31 (1990), STS-46 (1992)",3,016:02:04,Bachelor Of Science; Master Of Science Degree In Astronautical Engineering Fr; Bachelor Of Science Degree In Aeronautical Engineering Fro; Master Of Science,"[1]Beginning in 1975, he attended theUnited States Air Force Test Pilot SchoolatEdwards Air Force Base,California; - Shriver graduated from Paton High School in 1962; [1]

Career
Shriver graduated fromPatonHigh School in 1962; - Career
  - Shriver graduated from Paton High School in 1962; Beginning in 1975, he attended the United States Air Force Test Pilot School at Edwards Air Force Base , California",Commander; Test Pilot; Colonel; General; Astronaut,386 hours in space,,American,1944
157,86,"Onizuka, Ellison S.",male,1946,U.S.,True,NASA-8,1978,2,MSP,1985,STS 51-C,STS 51-C,STS 51-C,STS 51-C,74.0,74.0,0.0,0.0,Ellison S. Onizuka,United States,Man,STS-51-C (1985),1,003:01:33,Bachelor Of Science; Master Of Science Degree In That Field In December Of Th; Bachelor Of Science Degree In Aerospace Engineering In Jun; Master Of Science,""" – Ellison Onizuka
The Hawaii Space Grant Consortium holds an annual Astronaut Ellison Onizuka Science Day[20]at theUniversity of Hawaiʻi at Hilofor students in grades 4–12, parents and teachers; The ball was retrieved during the recovery efforts and donated to the school; Little TokyoinLos Angeleshas a street named after Onizuka, as does the street surrounding Whitcomb Elementary school inClear Lake City, Houston, Texas, where his daughters attended; (At the time of theChallengerdisaster, his older daughter, Janelle, attended Clear Lake High School; His duties there consisted of course instruction and management of the airship fleet ( A-7 , A-37 , T-38 , F-4 , T-33 , and NKC-135 ) being used for the Test Pilot School and Flight Test Center",Commander; Lieutenant; Test Pilot; Colonel; General,"74 hours in
           
            space",,American,1946
157,86,"Onizuka, Ellison S.",male,1946,U.S.,True,NASA-8,1978,2,MSP,1986,STS 51-L,STS 51-L,explosion,explosion,0.0,74.0,0.0,0.0,Ellison S. Onizuka,United States,Man,STS-51-C (1985),1,003:01:33,Bachelor Of Science; Master Of Science Degree In That Field In December Of Th; Bachelor Of Science Degree In Aerospace Engineering In Jun; Master Of Science,""" – Ellison Onizuka
The Hawaii Space Grant Consortium holds an annual Astronaut Ellison Onizuka Science Day[20]at theUniversity of Hawaiʻi at Hilofor students in grades 4–12, parents and teachers; The ball was retrieved during the recovery efforts and donated to the school; Little TokyoinLos Angeleshas a street named after Onizuka, as does the street surrounding Whitcomb Elementary school inClear Lake City, Houston, Texas, where his daughters attended; (At the time of theChallengerdisaster, his older daughter, Janelle, attended Clear Lake High School; His duties there consisted of course instruction and management of the airship fleet ( A-7 , A-37 , T-38 , F-4 , T-33 , and NKC-135 ) being used for the Test Pilot School and Flight Test Center",Commander; Lieutenant; Test Pilot; Colonel; General,"74 hours in
           
            space",,American,1946
158,87,"Buchli, James F.",male,1945,U.S.,True,NASA- 8,1978,4,MSP,1985,STS-51-C,STS-51-C,STS-51-C,STS-51-C,73.5,490.0,0.0,0.0,James F. Buchli,United States,Man,"STS-51-C (1985), STS-61-A (1985), STS-29 (1989), STS-48 (1991)",4,020:10:24,Bachelor Of Science; Master Of Science Degree In Aeronautical Engineering Sys; Bachelor Of Science Degree In Aeronautical Engineering Fro; Master Of Science,"- Buchli received his commission in the United States Marine Corps following graduation from the United States Naval Academy at Annapolis, Maryland in 1967; Upon completing this tour of duty, he again returned to the United States and participated in the Marine Advanced Degree Program at the University of West Florida; Naval Test Pilot SchoolatNaval Air Station Patuxent River,Maryland; - Buchli is an associate member of Naval Academy Alumni, American Legion , Association of Space Explorers , and American Geophysical Union; Naval Test Pilot School
           
           at
           
            Naval Air Station Patuxent River
           
           ,
           
            Maryland",Commander; Test Pilot; Colonel; General; Astronaut,None,,American,1945
158,87,"Buchli, James F.",male,1945,U.S.,True,NASA- 8,1978,4,MSP,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168.0,490.0,0.0,0.0,James F. Buchli,United States,Man,"STS-51-C (1985), STS-61-A (1985), STS-29 (1989), STS-48 (1991)",4,020:10:24,Bachelor Of Science; Master Of Science Degree In Aeronautical Engineering Sys; Bachelor Of Science Degree In Aeronautical Engineering Fro; Master Of Science,"- Buchli received his commission in the United States Marine Corps following graduation from the United States Naval Academy at Annapolis, Maryland in 1967; Upon completing this tour of duty, he again returned to the United States and participated in the Marine Advanced Degree Program at the University of West Florida; Naval Test Pilot SchoolatNaval Air Station Patuxent River,Maryland; - Buchli is an associate member of Naval Academy Alumni, American Legion , Association of Space Explorers , and American Geophysical Union; Naval Test Pilot School
           
           at
           
            Naval Air Station Patuxent River
           
           ,
           
            Maryland",Commander; Test Pilot; Colonel; General; Astronaut,None,,American,1945
158,87,"Buchli, James F.",male,1945,U.S.,True,NASA- 8,1978,4,MSP,1989,STS-29,STS-29,STS-29,STS-29,120.0,490.0,0.0,0.0,James F. Buchli,United States,Man,"STS-51-C (1985), STS-61-A (1985), STS-29 (1989), STS-48 (1991)",4,020:10:24,Bachelor Of Science; Master Of Science Degree In Aeronautical Engineering Sys; Bachelor Of Science Degree In Aeronautical Engineering Fro; Master Of Science,"- Buchli received his commission in the United States Marine Corps following graduation from the United States Naval Academy at Annapolis, Maryland in 1967; Upon completing this tour of duty, he again returned to the United States and participated in the Marine Advanced Degree Program at the University of West Florida; Naval Test Pilot SchoolatNaval Air Station Patuxent River,Maryland; - Buchli is an associate member of Naval Academy Alumni, American Legion , Association of Space Explorers , and American Geophysical Union; Naval Test Pilot School
           
           at
           
            Naval Air Station Patuxent River
           
           ,
           
            Maryland",Commander; Test Pilot; Colonel; General; Astronaut,None,,American,1945
158,87,"Buchli, James F.",male,1945,U.S.,True,NASA- 8,1978,4,MSP,1991,STS-48,STS-48,STS-48,STS-48,128.5,490.0,0.0,0.0,James F. Buchli,United States,Man,"STS-51-C (1985), STS-61-A (1985), STS-29 (1989), STS-48 (1991)",4,020:10:24,Bachelor Of Science; Master Of Science Degree In Aeronautical Engineering Sys; Bachelor Of Science Degree In Aeronautical Engineering Fro; Master Of Science,"- Buchli received his commission in the United States Marine Corps following graduation from the United States Naval Academy at Annapolis, Maryland in 1967; Upon completing this tour of duty, he again returned to the United States and participated in the Marine Advanced Degree Program at the University of West Florida; Naval Test Pilot SchoolatNaval Air Station Patuxent River,Maryland; - Buchli is an associate member of Naval Academy Alumni, American Legion , Association of Space Explorers , and American Geophysical Union; Naval Test Pilot School
           
           at
           
            Naval Air Station Patuxent River
           
           ,
           
            Maryland",Commander; Test Pilot; Colonel; General; Astronaut,None,,American,1945
159,88,"Payton, Gary Eugene",male,1948,U.S.,True,1979 USAF group,1979,1,PSP,1985,STS-51C,STS-51C,STS-51C,STS-51C,73.675,73.675,0.0,0.0,Gary Eugene Payton,United States,Man,STS-51-C (1985),1,003:01:33,Bachelor Of Science Degree In Astronautical Engineering In; Bachelor Of Science; B.S. 1971; Master Of Science; M.S. 1972,"He graduated from pilot training at Craig AFB , in Alabama in 1973; ^
               



                   a
                  







                   b
                  








                  ""Purdue University Distinguished Engineering Alumni - Gary E; - Education
  - Payton graduated from high school in Rock Island , Illinois , in 1966; He went on to attendBradley University, inPeoria, Illinois; - He is currently distinguished visiting professor in the Schriever Chair in Astronautics at the United States Air Force Academy, teaching astronautical engineering",Professor; Colonel; General; Air Force Pilot; Major,"73 hours in
           
            space",,American,1948
160,89,"Williams, Donald E.",male,1942,U.S.,True,1981 NASA group 8,1978,2,pilot,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,167.0,286.0,0.0,0.0,Donald E. Williams,United States,Man,"STS-51-D (1985), STS-34 (1989)",2,011:23:34,Bachelor Of Science; Bachelor Of Science Degree In Mechanical Engineering From,"In 1973, Williams attended theArmed Forces Staff College; Navy service
Williams received his commission through theNaval ROTCprogram atPurdue University; He graduated from Otterbein High School in Otterbein in 1960; - In 1973, Williams attended the Armed Forces Staff College; He graduated from Otterbein High School inOtterbeinin 1960",Mechanical Engineer; Naval Aviator; Commander; Test Pilot; General,None,,American,1942
160,89,"Williams, Donald E.",male,1942,U.S.,True,1981 NASA group 8,1978,2,commander,1989,STS-34,STS-34,STS-34,STS-34,119.0,286.0,0.0,0.0,Donald E. Williams,United States,Man,"STS-51-D (1985), STS-34 (1989)",2,011:23:34,Bachelor Of Science; Bachelor Of Science Degree In Mechanical Engineering From,"In 1973, Williams attended theArmed Forces Staff College; Navy service
Williams received his commission through theNaval ROTCprogram atPurdue University; He graduated from Otterbein High School in Otterbein in 1960; - In 1973, Williams attended the Armed Forces Staff College; He graduated from Otterbein High School inOtterbeinin 1960",Mechanical Engineer; Naval Aviator; Commander; Test Pilot; General,None,,American,1942
161,90,"Seddon, Margaret Rhea",female,1947,U.S.,True,NASA-8,1978,3,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,168.0,722.0,0.0,0.0,Margaret Rhea Seddon,,,,,,Bachelor Of Arts; Bachelor Of Arts Degree In Physiology In 1970,"She then did three years of residency at the University of Tennessee hospitals in Memphis, where she was the only woman in the General Surgery Residency Program; In 1960 she wrote a school report on what would happen to people who ventured into space; [11]She then did three years ofresidencyat the University of Tennessee hospitals in Memphis, where she was the only woman in the General Surgery Residency Program; - During her senior year at Berkeley, Seddon was accepted by the University of Tennessee College of Medicine; Radford College",Professor; Commander; Surgeon; General; Physician,722 hours in space,"in the
           
            nutrition
           
           of surgery patients; in the nutrition of surgery patients; in the nutrition of surgery patients",American,1947
161,90,"Seddon, Margaret Rhea",female,1947,U.S.,True,NASA-8,1978,3,MSP,1991,STS-40,STS-40,STS-40,STS-40,218.0,722.0,0.0,0.0,Margaret Rhea Seddon,,,,,,Bachelor Of Arts; Bachelor Of Arts Degree In Physiology In 1970,"She then did three years of residency at the University of Tennessee hospitals in Memphis, where she was the only woman in the General Surgery Residency Program; In 1960 she wrote a school report on what would happen to people who ventured into space; [11]She then did three years ofresidencyat the University of Tennessee hospitals in Memphis, where she was the only woman in the General Surgery Residency Program; - During her senior year at Berkeley, Seddon was accepted by the University of Tennessee College of Medicine; Radford College",Professor; Commander; Surgeon; General; Physician,722 hours in space,"in the
           
            nutrition
           
           of surgery patients; in the nutrition of surgery patients; in the nutrition of surgery patients",American,1947
161,90,"Seddon, Margaret Rhea",female,1947,U.S.,True,NASA-8,1978,3,MSP,1993,STS-58,STS-58,STS-58,STS-58,336.0,722.0,0.0,0.0,Margaret Rhea Seddon,,,,,,Bachelor Of Arts; Bachelor Of Arts Degree In Physiology In 1970,"She then did three years of residency at the University of Tennessee hospitals in Memphis, where she was the only woman in the General Surgery Residency Program; In 1960 she wrote a school report on what would happen to people who ventured into space; [11]She then did three years ofresidencyat the University of Tennessee hospitals in Memphis, where she was the only woman in the General Surgery Residency Program; - During her senior year at Berkeley, Seddon was accepted by the University of Tennessee College of Medicine; Radford College",Professor; Commander; Surgeon; General; Physician,722 hours in space,"in the
           
            nutrition
           
           of surgery patients; in the nutrition of surgery patients; in the nutrition of surgery patients",American,1947
162,91,"Griggs, S. David",male,1947,U.S.,True,NASA Astronaut Group 8,1978,1,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,168.0,168.0,3.17,3.17,S. David Griggs,United States,Man,STS-51-D (1985),1,006:23:55,Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science; Master Of Science Degree In Administration From George W; Master Of Science Degree In Administration,"Early life
Born September 7, 1939, inPortland, Oregon, Griggs graduated fromLincoln High Schoolin his hometown in 1957; In 1962 he received aBachelor of Sciencedegree from theUnited States Naval Academyand in 1970 aMaster of Science degree in AdministrationfromGeorge Washington University; - Early life
  - Born September 7, 1939, in Portland, Oregon , Griggs graduated from Lincoln High School in his hometown in 1957; - Griggs graduated from Annapolis in 1962 and entered Naval pilot training shortly thereafter; - Navy career
  - Griggs graduated from Annapolis in 1962 and entered Naval pilot training shortly thereafter",Test Pilot; General; Astronaut; Mission Specialist,None,"ed
           
            flying
           
           ,
           
            auto restoration; ed flying , auto restoration , running , skiing , and diving; ed flying , auto restoration , running , skiing , and diving",American,1939
163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,True,NASA- 8,1978,5,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,167.0,1211.9,3.17,25.2,Jeffrey A. Hoffman,United States,Man,"STS-51-D (1985), STS-35 (1990), STS-46 (1992), STS-61 (1993), STS-75 (1996)",5,050:11:54,Phd; Phd ) Rice University ( Ms ); Phd Recipients And Advisors- Website Of The Harvard U; Ph.D; Phd Recipients And Advisors,"- Hoffman is a visiting lecturer at the International Space University; - Since 2008 he has also been a visiting professor at the Department of Physics and Astronomy at the University of Leicester; From 1972 to 1975, during post-doctoral work at theUniversity of Leicesterin the United Kingdom, he worked on several x-ray astronomyrocketpayloads; - From 1972 to 1975, during post-doctoral work at the University of Leicester in the United Kingdom, he worked on several x-ray astronomy rocket payloads; Awards and honors
 - Amherst College 1963 Porter Prize in Astronomy
 - 1964 Second Walker Prize in Mathematics
 - 1965 John Summer Runnells Scholarship Prize
 - 1966 Stanley V",Professor; Commander; Scientist; Cosmonaut; General,None,"were in high-energy astrophysics, specifically
           
            cosmic; include space systems design and space policy; were in high-energy astrophysics, specifically cosmic gamma ray and x-ray astronomy",American,1944
163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,True,NASA- 8,1978,5,MSP,1990,STS-35,STS-35,STS-35,STS-35,215.0,1211.9,0.0,25.2,Jeffrey A. Hoffman,United States,Man,"STS-51-D (1985), STS-35 (1990), STS-46 (1992), STS-61 (1993), STS-75 (1996)",5,050:11:54,Phd; Phd ) Rice University ( Ms ); Phd Recipients And Advisors- Website Of The Harvard U; Ph.D; Phd Recipients And Advisors,"- Hoffman is a visiting lecturer at the International Space University; - Since 2008 he has also been a visiting professor at the Department of Physics and Astronomy at the University of Leicester; From 1972 to 1975, during post-doctoral work at theUniversity of Leicesterin the United Kingdom, he worked on several x-ray astronomyrocketpayloads; - From 1972 to 1975, during post-doctoral work at the University of Leicester in the United Kingdom, he worked on several x-ray astronomy rocket payloads; Awards and honors
 - Amherst College 1963 Porter Prize in Astronomy
 - 1964 Second Walker Prize in Mathematics
 - 1965 John Summer Runnells Scholarship Prize
 - 1966 Stanley V",Professor; Commander; Scientist; Cosmonaut; General,None,"were in high-energy astrophysics, specifically
           
            cosmic; include space systems design and space policy; were in high-energy astrophysics, specifically cosmic gamma ray and x-ray astronomy",American,1944
163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,True,NASA- 8,1978,5,MSP,1992,STS-46,STS-46,STS-46,STS-46,191.0,1211.9,0.0,25.2,Jeffrey A. Hoffman,United States,Man,"STS-51-D (1985), STS-35 (1990), STS-46 (1992), STS-61 (1993), STS-75 (1996)",5,050:11:54,Phd; Phd ) Rice University ( Ms ); Phd Recipients And Advisors- Website Of The Harvard U; Ph.D; Phd Recipients And Advisors,"- Hoffman is a visiting lecturer at the International Space University; - Since 2008 he has also been a visiting professor at the Department of Physics and Astronomy at the University of Leicester; From 1972 to 1975, during post-doctoral work at theUniversity of Leicesterin the United Kingdom, he worked on several x-ray astronomyrocketpayloads; - From 1972 to 1975, during post-doctoral work at the University of Leicester in the United Kingdom, he worked on several x-ray astronomy rocket payloads; Awards and honors
 - Amherst College 1963 Porter Prize in Astronomy
 - 1964 Second Walker Prize in Mathematics
 - 1965 John Summer Runnells Scholarship Prize
 - 1966 Stanley V",Professor; Commander; Scientist; Cosmonaut; General,None,"were in high-energy astrophysics, specifically
           
            cosmic; include space systems design and space policy; were in high-energy astrophysics, specifically cosmic gamma ray and x-ray astronomy",American,1944
163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,True,NASA- 8,1978,5,MSP,1993,STS-61,STS-61,STS-61,STS-61,259.0,1211.9,22.03,25.2,Jeffrey A. Hoffman,United States,Man,"STS-51-D (1985), STS-35 (1990), STS-46 (1992), STS-61 (1993), STS-75 (1996)",5,050:11:54,Phd; Phd ) Rice University ( Ms ); Phd Recipients And Advisors- Website Of The Harvard U; Ph.D; Phd Recipients And Advisors,"- Hoffman is a visiting lecturer at the International Space University; - Since 2008 he has also been a visiting professor at the Department of Physics and Astronomy at the University of Leicester; From 1972 to 1975, during post-doctoral work at theUniversity of Leicesterin the United Kingdom, he worked on several x-ray astronomyrocketpayloads; - From 1972 to 1975, during post-doctoral work at the University of Leicester in the United Kingdom, he worked on several x-ray astronomy rocket payloads; Awards and honors
 - Amherst College 1963 Porter Prize in Astronomy
 - 1964 Second Walker Prize in Mathematics
 - 1965 John Summer Runnells Scholarship Prize
 - 1966 Stanley V",Professor; Commander; Scientist; Cosmonaut; General,None,"were in high-energy astrophysics, specifically
           
            cosmic; include space systems design and space policy; were in high-energy astrophysics, specifically cosmic gamma ray and x-ray astronomy",American,1944
163,92,"Hoffman, Jeffrey A.",male,1944,U.S.,True,NASA- 8,1978,5,MSP,1996,STS-75,STS-75,STS-75,STS-75,377.0,1211.9,0.0,25.2,Jeffrey A. Hoffman,United States,Man,"STS-51-D (1985), STS-35 (1990), STS-46 (1992), STS-61 (1993), STS-75 (1996)",5,050:11:54,Phd; Phd ) Rice University ( Ms ); Phd Recipients And Advisors- Website Of The Harvard U; Ph.D; Phd Recipients And Advisors,"- Hoffman is a visiting lecturer at the International Space University; - Since 2008 he has also been a visiting professor at the Department of Physics and Astronomy at the University of Leicester; From 1972 to 1975, during post-doctoral work at theUniversity of Leicesterin the United Kingdom, he worked on several x-ray astronomyrocketpayloads; - From 1972 to 1975, during post-doctoral work at the University of Leicester in the United Kingdom, he worked on several x-ray astronomy rocket payloads; Awards and honors
 - Amherst College 1963 Porter Prize in Astronomy
 - 1964 Second Walker Prize in Mathematics
 - 1965 John Summer Runnells Scholarship Prize
 - 1966 Stanley V",Professor; Commander; Scientist; Cosmonaut; General,None,"were in high-energy astrophysics, specifically
           
            cosmic; include space systems design and space policy; were in high-energy astrophysics, specifically cosmic gamma ray and x-ray astronomy",American,1944
164,93,"Garn, Edwin Jacob",male,1932,U.S.,True,PS,1985,1,PSP,1985,STS-51D,STS-51D,STS-51D,STS-51D,168.15,168.15,0.0,0.0,Edwin Jacob Garn,United States,Man,STS-51-D (1985),1,006:23:55,Bachelor Of Science Degree In Business And Finance From Th; Bachelor Of Science,"University of Nebraska Press; - Early life and education
  - Garn was born in Richfield, Utah and the son of World War I pilot Ed Garn and the former Agnes Fern Christensen; He attended East High School , Roosevelt Junior High School, and Uintah Elementary School; He earned aBachelor of Sciencedegree in business and finance from theUniversity of Utahin 1955, where he was a member of theSigma Chifraternity; [1]He attendedEast High School, Roosevelt Junior High School, and Uintah Elementary School",General; Colonel; Astronaut,167 hours in space,,American,1932
165,94,"Gregory, Frederick D.",male,1941,U.S.,True,NASA Astronaut Group 8,1978,3,pilot,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168.0,455.0,0.0,0.0,Frederick D. Gregory,United States,Man,"STS-51-B (1985), STS-33 (1989), STS-44 (1991)",3,018:23:05,Doctorates From: The University Of The District Of Columbia; Bachelor Of Science Degree From The; Master'S Degree In Information Systems From; Bachelor Of Science Degree From The United States Air Forc; Bachelor Of Science Degree From Theunited States Air Force,"Gregory, an educator who was the assistant superintendent for the District of Columbia Public Schools , as well as the first Black president of the Washington, D; Air Force Academy; - ^""Air Force Academy will rename building for '64 grad, NASA astronaut retired Col; Gregory holds the following honors and awards:

- Early life and education
  - Gregory was born to an African-American family in Washington, D; He attended the
           
            United States Air Force Academy
           
           after being nominated by
           
            Adam Clayton Powell Jr",Commander; Scientist; Researcher; Test Pilot; Colonel,456 hours in space,"include reading , boating, hiking, diving, biking and traveling; include reading , boating, hiking, diving, biking and traveling; includereading, boating, hiking, diving, biking and traveling",American,1941
165,94,"Gregory, Frederick D.",male,1941,U.S.,True,NASA Astronaut Group 8,1978,3,commander,1989,STS-33,STS-33,STS-33,STS-33,120.0,455.0,0.0,0.0,Frederick D. Gregory,United States,Man,"STS-51-B (1985), STS-33 (1989), STS-44 (1991)",3,018:23:05,Doctorates From: The University Of The District Of Columbia; Bachelor Of Science Degree From The; Master'S Degree In Information Systems From; Bachelor Of Science Degree From The United States Air Forc; Bachelor Of Science Degree From Theunited States Air Force,"Gregory, an educator who was the assistant superintendent for the District of Columbia Public Schools , as well as the first Black president of the Washington, D; Air Force Academy; - ^""Air Force Academy will rename building for '64 grad, NASA astronaut retired Col; Gregory holds the following honors and awards:

- Early life and education
  - Gregory was born to an African-American family in Washington, D; He attended the
           
            United States Air Force Academy
           
           after being nominated by
           
            Adam Clayton Powell Jr",Commander; Scientist; Researcher; Test Pilot; Colonel,456 hours in space,"include reading , boating, hiking, diving, biking and traveling; include reading , boating, hiking, diving, biking and traveling; includereading, boating, hiking, diving, biking and traveling",American,1941
165,94,"Gregory, Frederick D.",male,1941,U.S.,True,NASA Astronaut Group 8,1978,3,commander,1991,STS-44,STS-44,STS-44,STS-44,166.0,455.0,0.0,0.0,Frederick D. Gregory,United States,Man,"STS-51-B (1985), STS-33 (1989), STS-44 (1991)",3,018:23:05,Doctorates From: The University Of The District Of Columbia; Bachelor Of Science Degree From The; Master'S Degree In Information Systems From; Bachelor Of Science Degree From The United States Air Forc; Bachelor Of Science Degree From Theunited States Air Force,"Gregory, an educator who was the assistant superintendent for the District of Columbia Public Schools , as well as the first Black president of the Washington, D; Air Force Academy; - ^""Air Force Academy will rename building for '64 grad, NASA astronaut retired Col; Gregory holds the following honors and awards:

- Early life and education
  - Gregory was born to an African-American family in Washington, D; He attended the
           
            United States Air Force Academy
           
           after being nominated by
           
            Adam Clayton Powell Jr",Commander; Scientist; Researcher; Test Pilot; Colonel,456 hours in space,"include reading , boating, hiking, diving, biking and traveling; include reading , boating, hiking, diving, biking and traveling; includereading, boating, hiking, diving, biking and traveling",American,1941
